Market and Exchange Names,As of Date in Form YYMMDD,As of Date in Form YYYY-MM-DD,CFTC Contract Market Code,CFTC Market Code in Initials,CFTC Region Code,CFTC Commodity Code,Open Interest (All),Noncommercial Positions-Long (All),Noncommercial Positions-Short (All),Noncommercial Positions-Spreading (All),Commercial Positions-Long (All),Commercial Positions-Short (All), Total Reportable Positions-Long (All),Total Reportable Positions-Short (All),Nonreportable Positions-Long (All),Nonreportable Positions-Short (All),Open Interest (Old),Noncommercial Positions-Long (Old),Noncommercial Positions-Short (Old),Noncommercial Positions-Spreading (Old),Commercial Positions-Long (Old),Commercial Positions-Short (Old),Total Reportable Positions-Long (Old),Total Reportable Positions-Short (Old),Nonreportable Positions-Long (Old),Nonreportable Positions-Short (Old),Open Interest (Other),Noncommercial Positions-Long (Other),Noncommercial Positions-Short (Other),Noncommercial Positions-Spreading (Other),Commercial Positions-Long (Other),Commercial Positions-Short (Other),Total Reportable Positions-Long (Other),Total Reportable Positions-Short (Other),Nonreportable Positions-Long (Other),Nonreportable Positions-Short (Other),Change in Open Interest (All),Change in Noncommercial-Long (All),Change in Noncommercial-Short (All),Change in Noncommercial-Spreading (All),Change in Commercial-Long (All),Change in Commercial-Short (All),Change in Total Reportable-Long (All),Change in Total Reportable-Short (All),Change in Nonreportable-Long (All),Change in Nonreportable-Short (All),% of Open Interest (OI) (All),% of OI-Noncommercial-Long (All),% of OI-Noncommercial-Short (All),% of OI-Noncommercial-Spreading (All),% of OI-Commercial-Long (All),% of OI-Commercial-Short (All),% of OI-Total Reportable-Long (All),% of OI-Total Reportable-Short (All),% of OI-Nonreportable-Long (All),% of OI-Nonreportable-Short (All),% of Open Interest (OI)(Old),% of OI-Noncommercial-Long (Old),% of OI-Noncommercial-Short (Old),% of OI-Noncommercial-Spreading (Old),% of OI-Commercial-Long (Old),% of OI-Commercial-Short (Old),% of OI-Total Reportable-Long (Old),% of OI-Total Reportable-Short (Old),% of OI-Nonreportable-Long (Old),% of OI-Nonreportable-Short (Old),% of Open Interest (OI) (Other),% of OI-Noncommercial-Long (Other),% of OI-Noncommercial-Short (Other),% of OI-Noncommercial-Spreading (Other),% of OI-Commercial-Long (Other),% of OI-Commercial-Short (Other),% of OI-Total Reportable-Long (Other),% of OI-Total Reportable-Short (Other),% of OI-Nonreportable-Long (Other),% of OI-Nonreportable-Short (Other),Traders-Total (All),Traders-Noncommercial-Long (All),Traders-Noncommercial-Short (All),Traders-Noncommercial-Spreading (All),Traders-Commercial-Long (All),Traders-Commercial-Short (All),Traders-Total Reportable-Long (All),Traders-Total Reportable-Short (All),Traders-Total (Old),Traders-Noncommercial-Long (Old),Traders-Noncommercial-Short (Old),Traders-Noncommercial-Spreading (Old),Traders-Commercial-Long (Old),Traders-Commercial-Short (Old),Traders-Total Reportable-Long (Old),Traders-Total Reportable-Short (Old),Traders-Total (Other),Traders-Noncommercial-Long (Other),Traders-Noncommercial-Short (Other),Traders-Noncommercial-Spreading (Other),Traders-Commercial-Long (Other),Traders-Commercial-Short (Other),Traders-Total Reportable-Long (Other),Traders-Total Reportable-Short (Other),Concentration-Gross LT = 4 TDR-Long (All),Concentration-Gross LT =4 TDR-Short (All),Concentration-Gross LT =8 TDR-Long (All),Concentration-Gross LT =8 TDR-Short (All),Concentration-Net LT =4 TDR-Long (All),Concentration-Net LT =4 TDR-Short (All),Concentration-Net LT =8 TDR-Long (All),Concentration-Net LT =8 TDR-Short (All),Concentration-Gross LT =4 TDR-Long (Old),Concentration-Gross LT =4 TDR-Short (Old),Concentration-Gross LT =8 TDR-Long (Old),Concentration-Gross LT =8 TDR-Short (Old),Concentration-Net LT =4 TDR-Long (Old),Concentration-Net LT =4 TDR-Short (Old),Concentration-Net LT =8 TDR-Long (Old),Concentration-Net LT =8 TDR-Short (Old),Concentration-Gross LT =4 TDR-Long (Other),Concentration-Gross LT =4 TDR-Short(Other),Concentration-Gross LT =8 TDR-Long (Other),Concentration-Gross LT =8 TDR-Short(Other),Concentration-Net LT =4 TDR-Long (Other),Concentration-Net LT =4 TDR-Short (Other),Concentration-Net LT =8 TDR-Long (Other),Concentration-Net LT =8 TDR-Short (Other),Contract Units,CFTC Contract Market Code (Quotes),CFTC Market Code in Initials (Quotes),CFTC Commodity Code (Quotes)
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,211019,2021-10-19,111659,NYME,1,111,333963,102687,54045,54106,153554,211575,310347,319726,23616,14237,333963,102687,54045,54106,153554,211575,310347,319726,23616,14237,0,0,0,0,0,0,0,0,0,0,2469,7550,6101,-5768,2148,2416,3930,2749,-1461,-280,100,30.7,16.2,16.2,46,63.4,92.9,95.7,7.1,4.3,100,30.7,16.2,16.2,46,63.4,92.9,95.7,7.1,4.3,0,0,0,0,0,0,0,0,0,0,251,85,39,66,94,105,214,181,251,85,39,66,94,105,214,181,0,0,0,0,0,0,0,0,13.8,17.4,23.4,28,11.8,13.7,19.4,21.8,13.8,17.4,23.4,28,11.8,13.7,19.4,21.8,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,211012,2021-10-12,111659,NYME,1,111,331494,95137,47944,59874,151406,209159,306417,316977,25077,14517,331494,95137,47944,59874,151406,209159,306417,316977,25077,14517,0,0,0,0,0,0,0,0,0,0,17268,-1298,2561,-298,16092,15005,14496,17268,2772,0,100,28.7,14.5,18.1,45.7,63.1,92.4,95.6,7.6,4.4,100,28.7,14.5,18.1,45.7,63.1,92.4,95.6,7.6,4.4,0,0,0,0,0,0,0,0,0,0,251,82,42,68,90,105,207,187,251,82,42,68,90,105,207,187,0,0,0,0,0,0,0,0,14.1,17.6,23.8,27.5,11.7,13.1,19.1,20.6,14.1,17.6,23.8,27.5,11.7,13.1,19.1,20.6,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,211005,2021-10-05,111659,NYME,1,111,314226,96435,45383,60172,135314,194154,291921,299709,22305,14517,314226,96435,45383,60172,135314,194154,291921,299709,22305,14517,0,0,0,0,0,0,0,0,0,0,-7024,8401,526,1977,-17821,-9658,-7443,-7155,419,131,100,30.7,14.4,19.1,43.1,61.8,92.9,95.4,7.1,4.6,100,30.7,14.4,19.1,43.1,61.8,92.9,95.4,7.1,4.6,0,0,0,0,0,0,0,0,0,0,252,89,40,59,86,106,201,182,252,89,40,59,86,106,201,182,0,0,0,0,0,0,0,0,12.5,16.8,22.1,26.3,11.8,13.4,19.6,21.2,12.5,16.8,22.1,26.3,11.8,13.4,19.6,21.2,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,210928,2021-09-28,111659,NYME,1,111,321250,88034,44857,58195,153135,203812,299364,306864,21886,14386,321250,88034,44857,58195,153135,203812,299364,306864,21886,14386,0,0,0,0,0,0,0,0,0,0,-10944,-978,-7482,1704,-11205,-5471,-10479,-11249,-465,305,100,27.4,14,18.1,47.7,63.4,93.2,95.5,6.8,4.5,100,27.4,14,18.1,47.7,63.4,93.2,95.5,6.8,4.5,0,0,0,0,0,0,0,0,0,0,253,84,41,64,87,110,201,190,253,84,41,64,87,110,201,190,0,0,0,0,0,0,0,0,14.1,17.1,23.9,28.4,11.4,12.2,18.8,19.9,14.1,17.1,23.9,28.4,11.4,12.2,18.8,19.9,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,210921,2021-09-21,111659,NYME,1,111,332194,89012,52339,56491,164340,209283,309843,318113,22351,14081,332194,89012,52339,56491,164340,209283,309843,318113,22351,14081,0,0,0,0,0,0,0,0,0,0,-14475,-6811,-1512,921,-8325,-15525,-14215,-16116,-260,1641,100,26.8,15.8,17,49.5,63,93.3,95.8,6.7,4.2,100,26.8,15.8,17,49.5,63,93.3,95.8,6.7,4.2,0,0,0,0,0,0,0,0,0,0,256,82,50,73,88,111,212,197,256,82,50,73,88,111,212,197,0,0,0,0,0,0,0,0,14.1,17.7,23.7,28.9,11.1,12.5,18.7,20.8,14.1,17.7,23.7,28.9,11.1,12.5,18.7,20.8,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,210914,2021-09-14,111659,NYME,1,111,346669,95823,53851,55570,172665,224808,324058,334229,22611,12440,346669,95823,53851,55570,172665,224808,324058,334229,22611,12440,0,0,0,0,0,0,0,0,0,0,16406,4121,2007,4408,7776,10885,16305,17300,101,-894,100,27.6,15.5,16,49.8,64.8,93.5,96.4,6.5,3.6,100,27.6,15.5,16,49.8,64.8,93.5,96.4,6.5,3.6,0,0,0,0,0,0,0,0,0,0,262,92,44,71,90,113,216,199,262,92,44,71,90,113,216,199,0,0,0,0,0,0,0,0,14.6,19.3,24.4,29.5,10.8,13.1,18,21,14.6,19.3,24.4,29.5,10.8,13.1,18,21,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,210907,2021-09-07,111659,NYME,1,111,330263,91702,51844,51162,164889,213923,307753,316929,22510,13334,330263,91702,51844,51162,164889,213923,307753,316929,22510,13334,0,0,0,0,0,0,0,0,0,0,-2352,-2027,336,4232,-4448,-6821,-2243,-2253,-109,-99,100,27.8,15.7,15.5,49.9,64.8,93.2,96,6.8,4,100,27.8,15.7,15.5,49.9,64.8,93.2,96,6.8,4,0,0,0,0,0,0,0,0,0,0,256,90,42,72,87,110,210,193,256,90,42,72,87,110,210,193,0,0,0,0,0,0,0,0,16,20.7,26.3,31,11.3,13.1,19.1,21,16,20.7,26.3,31,11.3,13.1,19.1,21,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,210831,2021-08-31,111659,NYME,1,111,332615,93729,51508,46930,169337,220744,309996,319182,22619,13433,332615,93729,51508,46930,169337,220744,309996,319182,22619,13433,0,0,0,0,0,0,0,0,0,0,-16992,6332,995,-7705,-19090,-10382,-20463,-17092,3471,100,100,28.2,15.5,14.1,50.9,66.4,93.2,96,6.8,4,100,28.2,15.5,14.1,50.9,66.4,93.2,96,6.8,4,0,0,0,0,0,0,0,0,0,0,243,87,38,71,87,107,203,188,243,87,38,71,87,107,203,188,0,0,0,0,0,0,0,0,15.9,21.3,26.5,31.4,11.3,13.7,19.6,21.2,15.9,21.3,26.5,31.4,11.3,13.7,19.6,21.2,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,210824,2021-08-24,111659,NYME,1,111,349607,87397,50513,54635,188427,231126,330459,336274,19148,13333,349607,87397,50513,54635,188427,231126,330459,336274,19148,13333,0,0,0,0,0,0,0,0,0,0,-19108,-11012,-12149,-4004,133,-2214,-14883,-18367,-4225,-741,100,25,14.4,15.6,53.9,66.1,94.5,96.2,5.5,3.8,100,25,14.4,15.6,53.9,66.1,94.5,96.2,5.5,3.8,0,0,0,0,0,0,0,0,0,0,257,86,43,76,92,112,215,200,257,86,43,76,92,112,215,200,0,0,0,0,0,0,0,0,13.7,19.3,25.3,31.2,11.2,13.6,18.7,20.7,13.7,19.3,25.3,31.2,11.2,13.6,18.7,20.7,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,210817,2021-08-17,111659,NYME,1,111,368715,98409,62662,58639,188294,233340,345342,354641,23373,14074,368715,98409,62662,58639,188294,233340,345342,354641,23373,14074,0,0,0,0,0,0,0,0,0,0,19508,3008,7099,-7896,25782,20002,20894,19205,-1386,303,100,26.7,17,15.9,51.1,63.3,93.7,96.2,6.3,3.8,100,26.7,17,15.9,51.1,63.3,93.7,96.2,6.3,3.8,0,0,0,0,0,0,0,0,0,0,261,88,44,75,92,116,218,202,261,88,44,75,92,116,218,202,0,0,0,0,0,0,0,0,14.2,21.6,24.9,33.4,10.5,14.5,17.3,21.4,14.2,21.6,24.9,33.4,10.5,14.5,17.3,21.4,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
GASOLINE BLENDSTOCK (RBOB) - NEW YORK MERCANTILE EXCHANGE,210810,2021-08-10,111659,NYME,1,111,349207,95401,55563,66535,162512,213338,324448,335436,24759,13771,349207,95401,55563,66535,162512,213338,324448,335436,24759,13771,0,0,0,0,0,0,0,0,0,0,-311,3231,3398,-2911,-3036,-1879,-2716,-1392,2405,1081,100,27.3,15.9,19.1,46.5,61.1,92.9,96.1,7.1,3.9,100,27.3,15.9,19.1,46.5,61.1,92.9,96.1,7.1,3.9,0,0,0,0,0,0,0,0,0,0,255,92,39,73,91,108,216,193,255,92,39,73,91,108,216,193,0,0,0,0,0,0,0,0,14.6,21.5,24.7,33.6,11.3,14.2,18,21,14.6,21.5,24.7,33.6,11.3,14.2,18,21,0,0,0,0,0,0,0,0,"(CONTRACTS OF 42,000 U.S. GALLONS)",111659,NYME,111
