World,Non-OECD,OECD,SaudiArabia,United States,OPEC,Non-OPEC
60581.691,,,7935.707,7546.006,38903.549,21678.142
59183.328,,,7340.531,7508.52,38045.033,21138.295
59006.359,,,7340.531,7408.706,37909.47,21096.889
59198.905,,,8084.504,7320.326,37330.597,21868.308
60191.613,,,8406.891,7346.955,37769.197,22422.416
59495.341,,,8396.973,7316.165,37003.85,22491.491
60534.055,,,8332.492,7367.632,38059.695,22474.36
60489.449,,,8382.094,7437.338,37771.843,22717.606
60735.218,,,8372.172,7327.776,37746.024,22989.194
61143.298,,,8570.566,7298.946,37696.406,23446.892
61259.803,,,8679.57809907561,7360.576,37658.8815209174,23600.9214790826
60422.656,,,8531.46243185589,7388.598,37037.5733250736,23385.0826749264
59773.365,,,8156.23607489927,7348.335,37160.8918758635,22612.4731241365
60133.336,,,8109.33278027969,7292.507,37434.1025754521,22699.2334245479
59005.23,,,8161.17326380659,7168.599,36186.703466651,22818.526533349
59247.736,,,8210.54515287983,7167.311,36266.7388988104,22980.9971011896
59712.625,,,8245.1054752311,7131.1,36506.8539641461,23205.7710358539
59699.38,,,8294.47736430434,6921.788,36162.4456409402,23536.9343590598
59960.921,,,8343.84925337758,7030.119,36193.7732680632,23767.1477319368
60758.671,,,8398.15833135814,7125.751,36565.2479932206,24193.4230067794
60469.679,,,8393.22114245082,7024.128,36213.1359437506,24256.5430562494
60790.383,,,8467.27897606068,7103.215,36356.2303073823,24434.1526926177
60602.361,43989.444,16612.917,8500,6961.007,36030.726,24571.635
60965.441,44087.048,16878.393,8440,6942.592,36232.778,24732.663
60256.832,43322.946,16933.886,8300,6974.128,36128.653,24128.179
59577.715,42735.996,16841.719,8000,6881.308,35962.77,23614.945
59713.933,42850.114,16863.819,8000,6846.92,35925.267,23788.666
59473.076,42913.894,16559.182,8150,6794.726,35562.823,23910.253
60069.081,43099.875,16969.206,8240,6688.367,35770.69,24298.391
59895.148,42954.554,16940.594,8345,6757.807,35611.071,24284.077
59921.026,43035.327,16885.699,8270,6711.565,35522.463,24398.563
60385.327,43070.152,17315.175,8145,6838.807,36036.153,24349.174
60445.99,42800.171,17645.819,7995,6911.632,36382.959,24063.031
60837.893,43085.346,17752.547,8005,6857.583,36465.333,24372.56
61138.9,43462.2,17676.7,8068,6817,36584.3,24554.6
60960.8,43191.1,17769.7,8061,6770,36422.2,24538.6
60868.7,43208,17660.7,8068,6746,36286.1,24582.6
60411,42908.3,17502.7,8083,6612,35981.2,24429.8
60850.1,43233.4,17616.7,8063,6688,36278.3,24571.8
61162,43475.3,17686.7,8063,6611,36479.2,24682.8
60766,43260.3,17505.7,8073,6501,36227.2,24538.8
60662,43060.3,17601.7,8093,6544,36369.2,24292.8
61273,43391.3,17881.7,8153,6609,36530.2,24742.8
61769,43619.3,18149.7,8218,6658,36964.2,24804.8
61943,43729.3,18213.7,8218,6628,37134.2,24808.8
62267,43721.3,18545.7,8273,6760,37492.2,24774.8
61842.1,43651.8,18190.3,8120,6682,37034.3,24807.8
62344.1,44066.8,18277.3,8220,6794,37388.3,24955.8
61604.1,43502.8,18101.3,8110,6600,36996.3,24607.8
62401.1,44174.8,18226.3,8220,6604,37273.3,25127.8
62413,44434.7,17978.3,8400,6629,36760.2,25652.8
61555,44145.7,17409.3,8100,6579,36557.2,24997.8
62506.4,44456.1,18050.3,8410,6449,37188.2,25318.2
62640.4,44759.1,17881.3,8425,6447,37071.2,25569.2
63036.4,44570.1,18466.3,8315,6416,37672.2,25364.2
62672.4,44816.1,17856.3,8315,6421,37073.2,25599.2
62891.4,44329.1,18562.3,8020,6585,37622.2,25269.2
63287.4,44516.1,18771.3,8110,6530,37911.2,25376.2
63237.5,44577.3,18660.2,8118,6495,37867.5,25370
63633.6,44815.3,18818.3,8248,6577,38171.6,25462
63483.5,44697.3,18786.2,8248,6571,37924.5,25559
63338.5,44593.3,18745.2,8088,6444,37981.5,25357
63337.5,44840.3,18497.2,8135,6394,37918.5,25419
63661,44985.8,18675.2,8195,6458,38093,25568
63737,45013.8,18723.2,8295,6338,38015,25722
63386,45001.8,18384.2,8220,6360,37668,25718
63858,45110.8,18747.2,8200,6482,38089,25769
64223,45333.8,18889.2,8255,6481,38348,25875
64672,45553.8,19118.2,8255,6476,38750,25922
65242,45975.8,19266.2,8358,6506,38801,26441
65180.2,45998,19182.2,8072,6402,38775.2,26405
65540.1,46229,19311.1,8212,6514,38880.1,26660
65527.2,46476,19051.2,8316,6452,38672.2,26855
66048.6,46902.4,19146.2,8368,6441,38948.6,27100
65393.8,46653.6,18740.2,8348,6474,38559.8,26834
64622.2,46162,18460.2,8341,6442,38204.2,26418
65068.5,46108.2,18960.3,8360,6409,38636.5,26432
65949.5,47296.2,18653.3,8458,6347,38392.5,27557
66311.9,47268.2,19043.7,8463,6486,38748.9,27563
