Date,Close,Symbol,PositionRisk,Position,PositionPrevious,BufferLow,BufferUp,RequiredTrade,PositionDynamic,PositionRaw,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,MinPosition,TickSize,Decimals,Spread,Commission,CostPerTrade,InstCapital,Exposure
2023-06-24,96.035,g,448.5517751261264,-34,-34,-29.99430972279256,-16.308289001633405,0,-33.99999999999999,-23.15129936221298,68.43010360579578,-6.766407806593515,-16.799465057301955,2.304650789422693,-15.596966738936665,0.00437253828651762,0.11805910086193852,0.8594,0.02777777777777777,Future,1,0.01,0.01,3,0.02,0,0.01,902.7777777777776,3823.4145914490327
2023-06-24,1007.62,gbp,199.2934617489383,4,4,1.6799638253217837,2.5859421447862325,0,3.999999999999998,2.132952985054008,4.529891597322243,9.41723632554413,2.7023794341929985,2.2939967642496595,20,0.00137050263275728,0.04249439298223477,0.8594,0.00694444444444444,Cash,1,0.01,0.01,2,0.3,0,0.15,225.69444444444443,2655.5791082696296
2023-06-24,1920.73,gc,712.683042034445,-3.6,-3.6,-2.759856441725817,-2.0302193249009335,0,-3.599999999999998,-2.395037883313375,3.6481855841244193,-13.13002218821165,-14.864539444495067,-20,-4.1089206094053585,0.0035361527245934,0.11295216733787096,1.09589,0.02222222222222222,Future,1,0.1,0.1,2,0.3,0,0.15,722.2222222222222,3197.0268443891705
2023-06-24,222.326,gf,176.9009170666327,-640,-640,-1273.4972582411287,-620.2753446880768,0,-640.0000000000007,-946.8863014646028,3266.1095677652597,-5.798251906854932,-6.849988023515095,-20,12.216867238741443,0.01601869584663706,0.13624695970398767,1.09589,0.02777777777777777,Future,0.01,300,1,3,0.2,0,0.1,902.7777777777776,3313.019900551055
2023-06-24,134.709,gg,0,0,0,-16.966749021342423,0.34068975973423754,0,0,-8.313029630804094,86.5371939053833,-1.921261657708306,-19.67832732089737,8.598312045075092,-10.631462370390286,0.00979474830458393,0.08486886683973877,1.09589,0.02777777777777777,Future,1,1,1,3,28,0,14,902.7777777777776,5318.662846544945
2023-06-24,90.268,he,322.6748172906851,1200,1200,666.3143360113669,2009.255619659667,0,1200,1337.7849778355169,6714.7064182415,3.9846417535135257,-3.1493031488135212,0.04114256638446215,10.697501963006616,0.00208485891828313,0.3264502237048649,1.09589,0.05555555555555555,Future,0.01,800,1,3,0.1,0,0.05,1805.5555555555552,2765.4377673024833
2023-06-24,380.78,hg,0,0,0,-7.727398998367349,238.73446733991045,0,199.99999999999991,115.50353417077156,1232.3093316913892,1.8745866999520124,20,-2.351072688919317,2.6253076110291773,-0.02089473106296324,0.16867236894418663,1.09589,0.02222222222222222,Future,0.01,200,1,2,0.2,0,0.1,722.2222222222222,2140.902587492573
2023-06-25,2.39418,hkdzar,123.10601039553092,-9000,-9000,-14919.855611096673,-6119.852021892053,0,-8999.999999999998,-10519.853816494362,44000.017946023094,-4.7817497844658,-10.959203337996858,-9.033648567057885,2.0774870821570706,2.506108639943605e-5,0.11563965459199008,20.240761,0.01851851851851851,Cash,1,3000,1,1,0.00103,0,5.15e-4,601.8518518518518,2602.272784259682
2023-06-24,116.557,hr,0,0,0,-19.22133357743704,16.121595416507024,0,0,-1.549869080465009,176.71464496972033,-0.1754092402166867,-20,13.996217620749508,-12.933795126478602,0.00560090596636531,0.04803269127534465,1.09589,0.02777777777777777,Future,1,0.01,0.01,3,28,0,14,902.7777777777776,9397.534822717467
2023-06-24,18754,hs,0,0,0,-0.23427579980458316,-0.1346265608104811,0,-0.06,-0.18445118030753213,0.4982461949705102,-7.404017618978476,-17.862265116382005,-7.5504930913516946,-4.6063614041610705,-0.02491888017746468,0.221002519942876,8.57799,0.0074074074074074,Index,1,0.1,0.1,1,5,0,2.5,240.74074074074073,544.6560989507419
2023-06-24,16191.16,jpy,0,0,0,-14.087960987834592,-8.268940466952055,0,0,-11.178450727393324,29.09510260441269,-7.684077199781348,6.765849157412792,-0.7213242310452544,-20,-7.896253888048932e-4,0.07507442238773557,156.699997,0.00694444444444444,Cash,1,0.01,0.01,2,5,0,2.5,225.69444444444443,1503.138067974764
2023-06-24,166.49,kc,0,0,0,-222.19710572521524,-61.301373486521015,0,-190.00000000000003,-141.74923960586813,804.4786611934711,-3.524002473740655,-16.980891730464453,6.0056071491596175,-12.071792188185045,-0.03319855972512897,0.29546438119055174,1.09589,0.01111111111111111,Future,0.01,500,1,2,0.3,0,0.15,361.1111111111111,611.0907677873738
2023-06-24,173.118,le,579.5622510508808,3300,3300,2920.3691106240276,3948.443889912965,0,3300.000000000001,3434.406500268496,5140.373896444682,13.36247739738889,-20,20,13.406193493472225,-0.00237705219124961,0.11117596008330448,1.09589,0.02777777777777777,Future,0.01,500,1,3,0.09,0,0.045,902.7777777777776,4060.1303424828698
2023-06-24,705.535,lf,0,0,0,0.31685165412963334,0.7396588219786318,0,0.2800000000000001,0.5282552380541325,2.1140358392449916,4.997599645640767,5.076772416496705,14.821057431304318,-7.301515779152656,-0.01243765593302903,0.3316552832200594,1.09589,0.01388888888888888,Future,1,1,1,2,0.5,0,0.25,451.38888888888886,680.5091185437019
2023-06-24,2.419,lo,213.32065630202777,276.1293,276.1293,79.63540245258021,196.493938402511,0,276.1293408550912,138.0646704275456,584.2926797496538,4.725873700375669,8.951461678525776,13.270559360816542,-7.011380369712949,-0.02232034778307556,0.34998667906295555,1.09589,0.01388888888888888,Future,1,250,1,4,0.0028,0,0.0014,451.38888888888886,644.8658133181307
2023-06-24,69312.9,lx,370.4084070242326,-0.7,-0.7,-0.8034504594729862,-0.5304784934114916,0,-0.6800000000000006,-0.6669644764422389,1.3648598303074733,-9.77337689383072,1.5763460494496868,-17.72541737148551,-2.6707570325823355,-0.0082557702939976,0.15452386494470752,20.240761,0.02222222222222222,Index,1,0.1,0.1,1,10,0,5,722.2222222222222,2336.9277699617833
2023-06-24,7159.73,mx,0,0,0,-0.14050177811319545,-0.05557603727361434,0,0,-0.0980389076934049,0.4246287041979056,-4.617629789234039,-6.575882807842246,-9.437883856960775,1.897251050076435,-0.00707296056349626,0.11877768544197702,1,0.01111111111111111,Index,1,0.05,0.01,2,1,0,0.5,361.1111111111111,1520.1134361534353
2023-06-25,8.3605,mxnjpy,601.8517963155857,109417.9,109417.9,93829.49563604714,115713.07765536872,0,109417.91009660791,104771.28664570794,109417.91009660791,19.15066492372275,11.50664923722752,20,20,-6.695921716586284e-4,0.10309507589702736,156.699997,0.01851851851851851,Cash,1,10000,1,1,3,0,1.5,601.8518518518518,2918.9165758653157
2023-06-24,2.7155,ng,857.1954300873667,-600,-600,-715.4103365355219,-462.6480619576188,0,-599.9999999999991,-589.0291992465703,1263.811372889515,-9.321473312901803,4.467889433152298,-20,0.579344359457412,0.0475112916109538,0.5765616521686886,1.09589,0.05555555555555555,Future,1,150,1,3,3,0,1.5,1805.5555555555552,1565.7957382043262
