Date,Close,Symbol,PositionRisk,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Decimals,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2023-09-01,1005.39,gbp,209.3,3.28,3.28,3.28,FALSE,0.7434089759979181,-0.2911800044615693,0.619531924386318,2.81,1.7682609971915535,5.947271807983345,5.946461013663176,10.123408194182833,0,7.379916307559584,-0.00287038291701158,0.05456719328018589,0.85975,0.0119047619047619,Cash,1,0.01,0.01,2,0.3,0,0.15,5.289094774320907,5.566550891358062,-2.5132902382673117,14.365079365079366,575,3477.3641192372056
2023-09-01,1937.11,gc,425.32,-2.3,-2.3,-2.3,FALSE,0.3591392558046569,-0.35313319690020145,0.619531924386318,-2.87,-2.1593496414949933,2.873114046437255,-15.03142309420435,-17.928948867086756,-20,4.429865393097773,-0.00149080141406887,0.1043648227119602,1.093255,0.01666666666666666,Future,1,0.1,0.01,2,0.3,0,0.15,2.3087287692921,1.0182886975024772,5.6207979063511955,4.682539682539683,805,2545.397894587297
2023-09-01,247.648,gf,79.48,-313,-313,-313,FALSE,326.92705266728626,8.053915017022135,0.619531924386318,-300,-408.13208147479406,2615.41642133829,-3.1209720803538876,-0.3615479991749902,-20,19.8887668658706,-0.00432340323976454,0.11209742332504093,1.093255,0.02083333333333333,Future,0.01,300,0.01,3,0.2,0,0.1,17.699138251395695,12.977137963983743,11.154850160681498,19.365079365079367,1006.25,2962.267018726577
2023-09-01,132.571,gg,130.36,-11.63,-11.63,-11.63,FALSE,9.87505516654796,5.080161779967808,0.619531924386318,-3.43,-1.7137068188334683,79.00044133238369,-0.4338474038703856,-16.541328341969923,7.894590682601439,-6.455985274209961,-0.00474091461857373,0.0924340512812424,1.093255,0.02777777777777777,Future,1,1,0.01,3,0.028,0,0.014,-3.692588617745826,-5.704861766178694,2.5487533253053467,-13.015873015873014,1341.6666666666663,4789.901490446162
2023-09-01,88.361,he,893.55,3458.62,3458.62,3458.62,FALSE,642.6502877014445,273.4490007856331,0.619531924386318,3900,3462.048500765113,5141.202301611556,13.46785556242322,-3.9102060709874262,20,-1.5760225448811076,-0.00848575313139221,0.31965093662911176,1.093255,0.04166666666666666,Future,0.01,800,0.01,3,0.1,0,0.05,-0.2354760185802225,-0.14965667551792433,-4.46416744399757,8.881784197001252e-16,2012.5,2077.6569810917795
2023-09-01,384.33,hg,294.54,-420.9,-420.9,-420.9,FALSE,94.90502289557828,130.65928285307444,0.619531924386318,-210,-105.37781302822664,759.2401831646262,-2.7758755493945597,3.803627687109379,-4.117349884381579,-0.4306788152913041,0.01077782688166983,0.1990571661419785,1.093255,0.01666666666666666,Future,0.01,200,0.1,2,0.2,0,0.1,0.08509049540525429,-0.5166659790449135,3.074663866381922,-3.968253968253967,805,1334.5412533931276
2023-08-31,18388.2,hs,177.34,-0.31,-0.31,-0.31,FALSE,0.11609568033911692,0.03717191546317908,0.619531924386318,-0.25,-0.4239352226614306,0.9287654427129352,-9.12900508923137,-7.519417638046764,-4.720797878842352,-7.434156723987653,-0.01144704981709665,0.26675151792535634,8.57457,0.01666666666666666,Index,1,0.1,0.01,1,5,0,2.5,-4.401513608684823,-5.434317369646203,-1.3718307365027742,-11.666666666666668,805,995.8706217159576
2023-09-01,16047.47,jpy,37.89,-4.48,-4.48,-4.48,FALSE,7.853002739491797,0.29118000446156983,0.619531924386318,-4.01,-28.412904029984738,62.824021915934374,-9.04523561640304,-0.42997348281208825,-0.6435719850086348,-14.16343434204125,-0.002088489822885,0.08414443335235208,159.667999,0.01666666666666666,Cash,1,0.01,0.01,2,5,0,2.5,-8.960336810003666,-11.466078904886716,-4.978779086017974,-18.174603174603178,805,3157.0715900789214
2023-09-01,153.59,kc,191.78,-510,-510,-510,FALSE,176.61049096199022,0,0.619531924386318,-510,-476.3087692208842,1412.8839276959218,-6.742362339666935,-10.386307818095965,2.460342519822249,-11.71612176136538,-0.01158701509473836,0.2676651704769861,1.093255,0.01666666666666666,Future,0.01,500,0.01,2,0.3,0,0.15,-9.400591080762991,-7.782472053898504,-1.803050221432223,-17.063492063492063,805,992.4713010908554
2023-09-01,502.15,lb,692.51,-4.21,-4.21,-4.21,FALSE,1.0093641914490614,0.13010170412112676,0.619531924386318,-4,-3.7885679788319377,8.074913531592491,-9.38355058294916,-2.2083549760918295,-4.477727936165197,-9.490002307352476,-0.00329040860315643,0.35812113260577505,1.093255,0.04166666666666666,Future,1,2,0.01,2,1,1,1.5,-6.125241418260462,-6.140379245596154,-3.918513419816448,-13.015873015873016,2012.5,1854.470288216916
2023-09-01,179.293,le,194.78,-1172.96,-1172.96,-1172.96,FALSE,499.91506484571767,311.5997766893425,0.619531924386318,-670,-749.5914833088251,3999.320518765742,-3.748594191396101,-15.647955331745372,-11.085036390065678,11.520627334858272,-0.00240100166316814,0.10125623051683548,1.093255,0.02083333333333333,Future,0.01,500,0.01,3,0.09,0,0.045,10.203740303344208,7.74654697865497,0.9898603173205344,16.50793650793651,1006.25,3279.4278268613734
2023-09-01,917.37,lf,611.39,2,2,2,FALSE,0.27156407231925,-0.24781276975452715,0.619531924386318,1.6,1.300090016327908,2.172512578554,11.968538448631064,-1.992318431604149,11.395323552633185,6.201489248161335,0.00742912139758367,0.3643044430309939,1.093255,0.02083333333333333,Future,1,1,0.01,2,0.5,0,0.25,6.2457039945905954,3.2173452648733134,3.8248053258432497,5.7936507936507935,1006.25,911.497255529626
2023-09-01,3.1471,lo,477.63,436,436,436,FALSE,75.78041917539721,-115.23293793585516,0.619531924386318,250,316.97207551681106,606.2433534031777,10.456925382768231,-1.4787800070536177,9.001140182265358,6.546478745212094,0.00165368140722521,0.3805517890665618,1.093255,0.02083333333333333,Future,1,250,0.1,4,0.0028,0,0.0014,6.196751337384378,3.138821679887798,4.220136919155757,6.587301587301587,1006.25,872.5816289407048
2023-09-01,69136.15,lx,427.07,-0.77,-0.77,-0.77,FALSE,0.11974050613544691,-0.04336723470704223,0.619531924386318,-0.84,-0.7130781273254926,0.9579240490835752,-14.887988833930594,-1.2727560275358076,-16.6143599160506,-3.727175821270453,0.00308055493647074,0.16366564909750558,20.401119,0.01666666666666666,Index,1,0.1,0.01,1,10,0,5,-3.3076987929248567,-2.8555559770661576,-4.114502335749572,-1.190476190476191,805,1623.126181119021
2023-09-01,7323.99,mx,59.73,-0.06,-0.06,-0.06,FALSE,0.0667113494409574,0.03717191546317908,0.619531924386318,0,-0.0148809693643618,0.5336907955276592,-0.5576625824940082,16.21706700334562,-8.866298492489276,6.099168727285177,0.00169860415066658,0.13592594485972948,1,0.01666666666666666,Index,1,0.05,0.01,2,1,0,0.5,2.908745386842815,3.8203094911967663,2.8312689226425234,9.206349206349207,805,1954.3730247683104
2023-09-01,2.7725,ng,1276.81,-818.1,-818.1,-818.1,FALSE,106.382060953267,-20.444553504748495,0.619531924386318,-851.1,-648.6594884477189,851.056487626136,-15.243629485911896,7.2354328907116,-18.630623988978243,-3.9266273796415847,0.03039413751122488,0.6154196449234876,1.093255,0.04166666666666666,Future,1,100,0.1,3,0.003,0,0.0015,-2.443816924944114,-3.671819660178415,1.970214122733284,-7.936507936507938,2012.5,1079.1416970164607
2023-09-01,870.36,nok,152.36,-22.9,-22.9,-22.9,FALSE,7.129864082012446,-0.06814851168249683,0.619531924386318,-23.01,-12.720096587941471,57.03891265609957,-4.460146940259467,-0.5418417615440294,-0,-7.29811779337977,0.00413326016005033,0.08852813299432448,11.58083,0.0119047619047619,Cash,1,0.01,0.01,2,0.6,0,0.3,-3.3450747536639924,-3.585779229346319,-5.604258152907908,-9.92063492063492,575,2143.386442049612
2023-09-01,32759.82,ny,372.99,11.59,11.591393228131189,9.2,TRUE,2.063664490129075,2.391393228131188,0.619531924386318,13.06,6.52889422553958,16.5093159210326,7.909345555889296,13.01611592316321,0.12623450366423086,9.770420482777736,0.00805067900081368,0.15685093556248056,159.667999,0.01666666666666666,Index,1,1,0.01,2,7,0,3.5,7.13250968168027,6.684426631068295,3.6268483229045407,12.61904761904762,805,1693.6462574950983
2023-09-01,944.75,nzd,106.77,-3.01,-3.01,-3.01,FALSE,1.3373732114533707,-0.18585957731589556,0.619531924386318,-3.31,-1.7039522142574477,10.698985691626966,-3.185259357045336,8.939442231661987,0.9867340142442984,-8.777043670796429,-2.7516721873688255e-4,0.06892738977087814,1.83586,0.0119047619047619,Cash,1,0.01,0.01,2,0.5,0,0.25,-5.265055993240293,-6.489384113246103,-5.093117952618607,-10.158730158730158,575,2752.896934451586
2023-09-01,327.175,oj,918.38,862,862,862,FALSE,124.6707711360598,35.932851614406445,0.619531924386318,920,947.667012028812,997.3661690884784,19.003391961748857,4.357481256972455,12.0972840623841,15.461344544024852,0.00467201094913427,0.35600536267404537,1.093255,0.03333333333333333,Future,0.01,300,0.01,2,0.6,0,0.3,10.76621833403818,10.319971380878016,7.122098747773217,19.365079365079367,1610,1492.3932493861128
2023-09-01,1220.065,pa,421.01,-1.1,-1.1,-1.1,FALSE,0.1735201844555919,0.21683617353521137,0.619531924386318,-0.75,-0.5560454982833339,1.3881614756447351,-8.011250968120654,6.497627087224783,-1.5062634487154538,-13.093662407779636,-0.00219828442289848,0.3429559420302888,1.093255,0.01666666666666666,Future,1,0.6,0.01,2,1.49,0,0.745,-9.423230405873518,-10.20098804443277,-2.5687354783929623,-18.095238095238095,805,774.5892910540056
2023-09-01,973.59,pl,0,0,0,0,FALSE,0.30425512861299436,0,0.619531924386318,0,0.10676161649956815,2.434041028903955,0.8772376080089559,2.627309432540573,-2.0503501645467863,3.3681730275632655,-0.00118049830732047,0.24510788873523276,1.093255,0.01666666666666666,Future,1,0.7,0.01,2,1,0,0.5,2.411880102061291,-0.17776618009337533,12.018384282500252,-3.8888888888888897,805,1083.808446030707
2023-09-01,2.76195,rb,472.2,583,583,583,FALSE,102.49515740628144,60.09459666547284,0.619531924386318,680,691.5365026346345,819.9612592502516,16.867540870576132,17.434767119413987,20,-1.2461236622266103,0.0117452389505841,0.32059899398214586,1.093255,0.02083333333333333,Future,1,250,0.1,4,0.0025,0,0.00125,-0.00894443272288052,-0.04849258200504184,-6.2371070985944925,2.460317460317459,1006.25,1035.7565252325544
2023-09-01,2674.6,rm,441.99,0.8061,0.8061,0.8061,FALSE,0.12112227435959136,0.10092175048253116,0.619531924386318,0.969,0.9689781948767308,0.9689781948767308,20,3.866982157937836,20,8.369938167402491,-0.00287479897068632,0.22412404073507375,1.093255,0.01666666666666666,Future,1,0.3,1e-4,1,3,0,1.5,6.135906814768656,4.0540215547281235,3.182775149250809,12.38095238095238,805,1185.2811466754345
2023-09-01,25.396,sb,292.54,5000,5000,5000,FALSE,1135.108092166033,0,0.619531924386318,5000,5358.724515154986,9080.864737328264,11.80223397255801,-6.316563380804626,8.56518896681324,10.543044590947956,0.00739060769401289,0.2518655464997446,1.093255,0.01666666666666666,Future,0.01,5000,1,3,0.04,0,0.02,6.850342303991074,5.421281221597943,10.16851367732777,10,805,1054.7294129420336
2023-09-01,908.94,sek,70.24,-12.61,-12.61,-12.61,FALSE,8.515962660276976,2.2303149277907446,0.619531924386318,-9.01,-37.152257118709784,68.12770128221581,-10.906652189777638,-20,-0,-13.177753649629397,-0.00381036505710152,0.07256642169800653,11.84085,0.0119047619047619,Cash,1,0.01,0.01,2,0.6,0,0.3,-8.750046121033007,-9.958151115872576,-5.806991037900372,-16.03174603174603,575,2614.845758685282
2023-09-01,1066.6,sgd,175.02,12.68,12.68,12.68,FALSE,4.81147438396962,0.20444553504748497,0.619531924386318,13.01,15.332383896985,38.49179507175696,7.966572547942826,0.7165244244864446,-0,13.098489807116431,-5.155243230747786e-4,0.01908574381343332,1.47482,0.01666666666666666,Cash,1,0.01,0.01,2,0.3,0,0.15,9.55471913372052,7.84984884621464,5.755620437565955,17.142857142857142,805,13918.765891273502
2023-09-01,24.2385,si,176.93,-30.94,-30.94,-30.94,FALSE,11.613955880092035,-2.899409406127966,0.619531924386318,-35.62,-17.81159758043186,92.91164704073628,-3.834093603490319,-11.407866311847316,-9.549801900556336,8.39906294784005,-0.00784914032255157,0.2579202192515124,1.093255,0.01666666666666666,Future,1,30,0.01,3,0.025,0,0.0125,4.556772861475906,4.505610992848777,8.209458182985363,8.571428571428571,805,1029.9696579466302
2023-09-01,717.12,sw,405.85,2.8,2.8,2.8,FALSE,0.4581884277264599,0.4336723470704227,0.619531924386318,3.5,3.164066786780422,3.665507421811679,17.26400425737826,0.6440730706870125,11.543001545149396,14.183570229855269,0.00354823310033403,0.22097103513529748,1.093255,0.01666666666666666,Future,1,2,0.001,2,0.7,0,0.35,8.920531349096187,8.593247541453396,11.127975662851238,15,805,1202.1937618989125
2023-09-01,1068.625,usd,350.2,7.21,7.208860440530382,6.23,TRUE,0.97664200154336,0.978860440530382,0.619531924386318,7.81,4.146573851658191,7.813136012346881,10.614364949248232,19.90714733774806,2.6145491891956074,9.44563492781553,0.00207021956432029,0.04969154932593619,1.093255,0.0119047619047619,Cash,1,0.01,0.01,2,0.25,0,0.125,6.915254994933337,6.399875966588603,7.256297632000813,8.492063492063492,575,3818.556727933641
2023-09-01,484,zc,233.46,-191.7,-191.7,-191.7,FALSE,90.88848771582624,-73.29062665490143,0.619531924386318,-310,-317.8578086184053,727.10790172661,-8.743071224053862,3.9780478054117383,1.6166244034870552,-17.587077829134856,0.00569802111463779,0.27508430470353273,1.093255,0.02777777777777777,Future,0.01,150,0.1,2,0.9,0,0.45,-16.071931837306085,-11.018278156963923,-8.373081983043585,-18.650793650793652,1341.6666666666663,1609.5065855435334
2023-09-01,67.05,zl,394.22,2200,2200,2200,FALSE,308.8515004469346,167.89315150869217,0.619531924386318,2471,2351.906354593328,2470.812003575477,19.037517635416357,8.965640191500114,20,4.487786011152233,0.00781569805208537,0.2921739940205394,1.093255,0.01388888888888888,Future,0.01,2000,1,3,0.09,0,0.045,5.003794068074064,3.4612800782316357,-2.1961843439813697,7.53968253968254,670.8333333333333,757.6820816723258
2023-09-01,419.03,zm,0,0,0,0,FALSE,0.56585574171315145,0,0.619531924386318,0,2.2304920341654757,4.526845933705212,9.854508268364343,-20,20,-3.5758195527260908,-0.00447651770239687,0.25517563912589436,1.093255,0.01388888888888888,Future,1,2,0.001,2,0.7,0,0.35,-2.3862224125704903,-2.78478399385265,-0.8315152942725232,-5,670.8333333333333,867.5397101318971
2023-09-01,110.01,zn,213.99,-30.99,-30.99,-30.99,FALSE,16.03000799593284,-5.588177957964588,0.619531924386318,-40.01,-94.2756014213865,128.24006396746273,-14.702987273198216,-18.045805003662142,-9.016017325412282,-8.723505880982804,-0.00263265550811286,0.06862054249343504,1.093255,0.02777777777777777,Future,1,0.01,0.01,3,0.03,0,0.015,-6.2151462624470515,-7.508489672319667,1.4058889017060745,-14.523809523809524,1341.6666666666663,6452.149515465549
2023-09-01,477.09,zo,0,0,0,0,FALSE,78.64024201530063,0,0.619531924386318,0,-97.21612234544996,629.121936122405,-3.0905335440897774,-7.47115016111532,-15.007145800942652,15.475830551307515,0.01100162841527296,0.32253354929729294,1.093255,0.02777777777777777,Future,0.01,200,0.01,2,0.9,0,0.45,12.512078443511118,8.601533548299079,13.567820229551144,12.936507936507937,1341.6666666666663,1372.725414037156
2023-09-01,17.141,zr,623.66,193,193,193,FALSE,34.253866816948054,10.532042714567408,0.619531924386318,210,219.065242569843,274.03093453558444,15.988358609301184,8,20,-0.35273565116469485,-0.00186512847680475,0.20609824379293817,1.093255,0.02777777777777777,Future,1,50,0.01,3,0.04,0,0.02,0.28070805126164117,-2.986789617505375,6.620741101121596,-5,1341.6666666666663,2148.2473205585393
2023-09-01,1421.83,zs,515.45,194.2,194.2,194.2,FALSE,41.70212740993709,3.5932851614406514,0.619531924386318,200,188.7846443280232,333.61701927949673,11.317446857821349,-5.918715066108889,20,-4.6579098037705355,0.00225315713214868,0.20408644774095216,1.093255,0.02777777777777777,Future,0.01,50,0.1,2,1.5,0,0.75,-2.8186706571059177,-1.5117707162586775,-2.382541173035586,-7.619047619047619,1341.6666666666663,2169.4238147649303
2023-09-01,585.62,zw,721.13,-368.8,-368.8,-368.8,FALSE,56.60780180631448,-52.10263484088932,0.619531924386318,-452.9,-452.8624144505158,452.8624144505158,-20,-20,-12.64006087655108,-15.661352132271029,0.01422244667150085,0.36502941283768225,1.093255,0.02777777777777777,Future,0.01,80,0.1,2,0.8,0,0.4,-10.311310923495531,-10.74846524224002,-11.49407899094697,-15.634920634920634,1341.6666666666663,1212.915958081651
