"Date","Price","Open","High","Low","Change %"
"Jun 02, 2002","5.358","5.358","5.358","5.358","-1.07%"
"May 26, 2002","5.416","5.416","5.416","5.416","0.41%"
"May 19, 2002","5.394","5.394","5.394","5.394","-1.62%"
"May 12, 2002","5.483","5.483","5.483","5.483","1.09%"
"May 05, 2002","5.424","5.424","5.424","5.424","1.73%"
"Apr 28, 2002","5.332","5.332","5.332","5.332","-0.06%"
"Apr 21, 2002","5.335","5.335","5.335","5.335","-2.02%"
"Apr 14, 2002","5.445","5.445","5.445","5.445","0.87%"
"Apr 07, 2002","5.398","5.398","5.398","5.398","0.60%"
"Mar 31, 2002","5.366","5.366","5.366","5.366","-2.44%"
"Mar 24, 2002","5.500","5.500","5.500","5.500","0.13%"
"Mar 17, 2002","5.493","5.493","5.493","5.493","0.46%"
"Mar 10, 2002","5.468","5.468","5.468","5.468","0.70%"
"Mar 03, 2002","5.430","5.430","5.430","5.430","3.11%"
"Feb 24, 2002","5.266","5.266","5.266","5.266","1.64%"
"Feb 17, 2002","5.181","5.181","5.181","5.181","0.15%"
"Feb 10, 2002","5.173","5.173","5.173","5.173","-0.60%"
"Feb 03, 2002","5.204","5.204","5.204","5.204","1.09%"
"Jan 27, 2002","5.148","5.148","5.148","5.148","-2.24%"
"Jan 20, 2002","5.266","5.266","5.266","5.266","3.87%"
"Jan 13, 2002","5.070","5.070","5.070","5.070","0.34%"
"Jan 06, 2002","5.053","5.053","5.053","5.053","-2.13%"
"Dec 30, 2001","5.163","5.163","5.163","5.163","-1.49%"
"Dec 23, 2001","5.241","5.241","5.241","5.241","2.32%"
"Dec 16, 2001","5.122","5.122","5.122","5.122","2.17%"
"Dec 09, 2001","5.013","5.013","5.013","5.013","-3.07%"
"Dec 02, 2001","5.172","5.172","5.172","5.172","5.83%"
"Nov 25, 2001","4.887","4.887","4.887","4.887","-0.95%"
"Nov 18, 2001","4.934","4.934","4.934","4.934","-0.50%"
"Nov 11, 2001","4.959","4.959","4.959","4.959","6.10%"
"Nov 04, 2001","4.674","4.674","4.674","4.674","-0.60%"
"Oct 28, 2001","4.702","4.702","4.702","4.702","-2.49%"
"Oct 21, 2001","4.822","4.822","4.822","4.822","-3.31%"
"Oct 14, 2001","4.987","4.987","4.987","4.987","-0.76%"
"Oct 07, 2001","5.025","5.025","5.025","5.025","0.60%"
"Sep 30, 2001","4.995","4.995","4.995","4.995","-3.38%"
"Sep 23, 2001","5.170","5.170","5.170","5.170","-2.14%"
"Sep 16, 2001","5.283","5.283","5.283","5.283","2.17%"
"Sep 09, 2001","5.171","5.171","5.171","5.171","0.08%"
"Sep 02, 2001","5.167","5.167","5.167","5.167","0.17%"
"Aug 26, 2001","5.158","5.158","5.158","5.158","-1.77%"
"Aug 19, 2001","5.251","5.251","5.251","5.251","2.02%"
"Aug 12, 2001","5.147","5.147","5.147","5.147","-0.71%"
"Aug 05, 2001","5.184","5.184","5.184","5.184","-1.89%"
"Jul 29, 2001","5.284","5.284","5.284","5.284","0.00%"
"Jul 22, 2001","5.284","5.284","5.284","5.284","-1.38%"
"Jul 15, 2001","5.358","5.358","5.358","5.358","-2.23%"
"Jul 08, 2001","5.480","5.480","5.480","5.480","0.02%"
"Jul 01, 2001","5.479","5.479","5.479","5.479","-0.38%"
"Jun 24, 2001","5.500","5.500","5.500","5.500","3.64%"
"Jun 17, 2001","5.307","5.307","5.307","5.307","-1.28%"
"Jun 10, 2001","5.376","5.376","5.376","5.376","-1.29%"
"Jun 03, 2001","5.446","5.446","5.446","5.446","0.20%"
"May 27, 2001","5.435","5.435","5.435","5.435","-2.41%"
"May 20, 2001","5.569","5.569","5.569","5.569","2.33%"
"May 13, 2001","5.442","5.442","5.442","5.442","0.76%"
"May 06, 2001","5.401","5.401","5.401","5.401","0.99%"
"Apr 29, 2001","5.348","5.348","5.348","5.348","-0.59%"
"Apr 22, 2001","5.380","5.380","5.380","5.380","0.07%"
"Apr 15, 2001","5.376","5.376","5.376","5.376","1.84%"
"Apr 08, 2001","5.279","5.279","5.279","5.279","2.88%"
"Apr 01, 2001","5.131","5.131","5.131","5.131","0.33%"
"Mar 25, 2001","5.114","5.114","5.114","5.114","1.51%"
"Mar 18, 2001","5.038","5.038","5.038","5.038","-1.58%"
"Mar 11, 2001","5.119","5.119","5.119","5.119","-0.70%"
"Mar 04, 2001","5.155","5.155","5.155","5.155","0.00%"
"Feb 25, 2001","5.155","5.155","5.155","5.155","-2.13%"
"Feb 18, 2001","5.267","5.267","5.267","5.267","1.11%"
"Feb 11, 2001","5.209","5.209","5.209","5.209","0.79%"
"Feb 04, 2001","5.168","5.168","5.168","5.168","0.41%"
"Jan 28, 2001","5.147","5.147","5.147","5.147","-1.46%"
"Jan 21, 2001","5.223","5.223","5.223","5.223","0.64%"
"Jan 14, 2001","5.190","5.190","5.190","5.190","0.21%"
"Jan 07, 2001","5.179","5.179","5.179","5.179","1.79%"
"Dec 31, 2000","5.088","5.088","5.088","5.088","-3.67%"
"Dec 24, 2000","5.282","5.282","5.282","5.282","0.09%"
"Dec 17, 2000","5.277","5.277","5.277","5.277","0.38%"
"Dec 10, 2000","5.257","5.257","5.257","5.257","-1.17%"
"Dec 03, 2000","5.319","5.319","5.319","5.319","-1.06%"
"Nov 26, 2000","5.376","5.376","5.376","5.376","-2.20%"
"Nov 19, 2000","5.497","5.497","5.497","5.497","-1.01%"
"Nov 12, 2000","5.553","5.553","5.553","5.553","-0.93%"
"Nov 05, 2000","5.605","5.605","5.605","5.605","0.48%"
"Oct 29, 2000","5.578","5.578","5.578","5.578","-0.55%"
"Oct 22, 2000","5.609","5.609","5.609","5.609","0.38%"
"Oct 15, 2000","5.588","5.588","5.588","5.588","0.47%"
"Oct 08, 2000","5.562","5.562","5.562","5.562","-0.86%"
"Oct 01, 2000","5.610","5.610","5.610","5.610","-0.27%"
"Sep 24, 2000","5.625","5.625","5.625","5.625","-0.04%"
"Sep 17, 2000","5.627","5.627","5.627","5.627","-0.04%"
"Sep 10, 2000","5.629","5.629","5.629","5.629","0.12%"
"Sep 03, 2000","5.622","5.622","5.622","5.622","0.29%"
"Aug 27, 2000","5.606","5.606","5.606","5.606","0.23%"
"Aug 20, 2000","5.593","5.593","5.593","5.593","0.54%"
"Aug 13, 2000","5.563","5.563","5.563","5.563","1.26%"
"Aug 06, 2000","5.494","5.494","5.494","5.494","-0.60%"
"Jul 30, 2000","5.527","5.527","5.527","5.527","-0.52%"
"Jul 23, 2000","5.556","5.556","5.556","5.556","-0.45%"
"Jul 16, 2000","5.581","5.581","5.581","5.581","-0.36%"
"Jul 09, 2000","5.601","5.601","5.601","5.601","-0.07%"
"Jul 02, 2000","5.605","5.605","5.605","5.605","0.74%"
"Jun 25, 2000","5.564","5.564","5.564","5.564","-0.68%"
"Jun 18, 2000","5.602","5.602","5.602","5.602","2.15%"
"Jun 11, 2000","5.484","5.484","5.484","5.484","-0.80%"
"Jun 04, 2000","5.528","5.528","5.528","5.528","1.08%"
"May 28, 2000","5.469","5.469","5.469","5.469","-2.57%"
"May 21, 2000","5.613","5.613","5.613","5.613","-4.49%"
"May 14, 2000","5.877","5.877","5.877","5.877","2.30%"
"May 07, 2000","5.745","5.745","5.745","5.745","-0.59%"
"Apr 30, 2000","5.779","5.779","5.779","5.779","3.12%"
"Apr 23, 2000","5.604","5.604","5.604","5.604","0.68%"
"Apr 16, 2000","5.566","5.566","5.566","5.566","1.38%"
"Apr 09, 2000","5.490","5.490","5.490","5.490","-0.09%"
"Apr 02, 2000","5.495","5.495","5.495","5.495","-0.42%"
"Mar 26, 2000","5.518","5.518","5.518","5.518","0.04%"
"Mar 19, 2000","5.516","5.516","5.516","5.516","-0.29%"
"Mar 12, 2000","5.532","5.532","5.532","5.532","-1.69%"
"Mar 05, 2000","5.627","5.627","5.627","5.627","-2.11%"
"Feb 27, 2000","5.748","5.748","5.748","5.748","0.97%"
"Feb 20, 2000","5.693","5.693","5.693","5.693","-2.37%"
"Feb 13, 2000","5.831","5.831","5.831","5.831","-0.55%"
"Feb 06, 2000","5.863","5.863","5.863","5.863","3.29%"
"Jan 30, 2000","5.676","5.676","5.676","5.676","-3.55%"
"Jan 23, 2000","5.885","5.885","5.885","5.885","1.01%"
"Jan 16, 2000","5.826","5.826","5.826","5.826","1.36%"
"Jan 09, 2000","5.748","5.748","5.748","5.748","0.28%"
"Jan 02, 2000","5.732","5.732","5.732","5.732","2.07%"
"Dec 26, 1999","5.616","5.616","5.616","5.616","2.44%"
"Dec 19, 1999","5.482","5.482","5.482","5.482","0.05%"
"Dec 12, 1999","5.479","5.479","5.479","5.479","5.02%"
"Dec 05, 1999","5.217","5.217","5.217","5.217","-3.71%"
"Nov 28, 1999","5.418","5.418","5.418","5.418","-0.75%"
"Nov 21, 1999","5.459","5.459","5.459","5.459","3.80%"
"Nov 14, 1999","5.259","5.259","5.259","5.259","2.18%"
"Nov 07, 1999","5.147","5.147","5.147","5.147","-1.62%"
"Oct 31, 1999","5.232","5.232","5.232","5.232","-4.02%"
"Oct 24, 1999","5.451","5.451","5.451","5.451","-3.20%"
"Oct 17, 1999","5.631","5.631","5.631","5.631","-0.51%"
"Oct 10, 1999","5.660","5.660","5.660","5.660","3.53%"
"Oct 03, 1999","5.467","5.467","5.467","5.467","1.07%"
"Sep 26, 1999","5.409","5.409","5.409","5.409","2.79%"
"Sep 19, 1999","5.262","5.262","5.262","5.262","-1.03%"
"Sep 12, 1999","5.317","5.317","5.317","5.317","-0.26%"
"Sep 05, 1999","5.331","5.331","5.331","5.331","1.58%"
"Aug 29, 1999","5.248","5.248","5.248","5.248","3.27%"
"Aug 22, 1999","5.082","5.082","5.082","5.082","-0.08%"
"Aug 15, 1999","5.086","5.086","5.086","5.086","-1.76%"
"Aug 08, 1999","5.177","5.177","5.177","5.177","-1.73%"
"Aug 01, 1999","5.268","5.268","5.268","5.268","4.44%"
"Jul 25, 1999","5.044","5.044","5.044","5.044","2.48%"
"Jul 18, 1999","4.922","4.922","4.922","4.922","-2.15%"
"Jul 11, 1999","5.030","5.030","5.030","5.030","0.86%"
"Jul 04, 1999","4.987","4.987","4.987","4.987","1.86%"
"Jun 27, 1999","4.896","4.896","4.896","4.896","0.53%"
"Jun 20, 1999","4.870","4.870","4.870","4.870","8.08%"
"Jun 13, 1999","4.506","4.506","4.506","4.506","-3.39%"
"Jun 06, 1999","4.664","4.664","4.664","4.664","1.72%"
"May 30, 1999","4.585","4.585","4.585","4.585","3.80%"
"May 23, 1999","4.417","4.417","4.417","4.417","2.01%"
"May 16, 1999","4.330","4.330","4.330","4.330","0.51%"
"May 09, 1999","4.308","4.308","4.308","4.308","1.20%"
"May 02, 1999","4.257","4.257","4.257","4.257","4.01%"
"Apr 25, 1999","4.093","4.093","4.093","4.093","-0.58%"
"Apr 18, 1999","4.117","4.117","4.117","4.117","-0.63%"
"Apr 11, 1999","4.143","4.143","4.143","4.143","1.42%"
"Apr 04, 1999","4.085","4.085","4.085","4.085","-3.77%"
"Mar 28, 1999","4.245","4.245","4.245","4.245","-0.68%"
"Mar 21, 1999","4.274","4.274","4.274","4.274","2.72%"
"Mar 14, 1999","4.161","4.161","4.161","4.161","-2.16%"
"Mar 07, 1999","4.253","4.253","4.253","4.253","-1.53%"
"Feb 28, 1999","4.319","4.319","4.319","4.319","2.06%"
"Feb 21, 1999","4.232","4.232","4.232","4.232","2.59%"
"Feb 14, 1999","4.125","4.125","4.125","4.125","3.07%"
"Feb 07, 1999","4.002","4.002","4.002","4.002","0.02%"
"Jan 31, 1999","4.001","4.001","4.001","4.001","3.01%"
"Jan 24, 1999","3.884","3.884","3.884","3.884","-0.18%"
"Jan 17, 1999","3.891","3.891","3.891","3.891","-1.29%"
"Jan 10, 1999","3.942","3.942","3.942","3.942","0.31%"
"Jan 03, 1999","3.930","3.930","3.930","3.930","-2.63%"
"Dec 27, 1998","4.036","4.036","4.036","4.036","1.03%"
"Dec 20, 1998","3.995","3.995","3.995","3.995","0.55%"
"Dec 13, 1998","3.973","3.973","3.973","3.973","0.15%"
"Dec 06, 1998","3.967","3.967","3.967","3.967","-4.04%"
"Nov 29, 1998","4.134","4.134","4.134","4.134","-2.64%"
"Nov 22, 1998","4.246","4.246","4.246","4.246","-2.53%"
"Nov 15, 1998","4.356","4.356","4.356","4.356","-2.90%"
"Nov 08, 1998","4.486","4.486","4.486","4.486","-1.10%"
"Nov 01, 1998","4.536","4.536","4.536","4.536","0.35%"
"Oct 25, 1998","4.520","4.520","4.520","4.520","0.92%"
"Oct 18, 1998","4.479","4.479","4.479","4.479","-0.47%"
"Oct 11, 1998","4.500","4.500","4.500","4.500","-5.72%"
"Oct 04, 1998","4.773","4.773","4.773","4.773","9.95%"
"Sep 27, 1998","4.341","4.341","4.341","4.341","-2.14%"
"Sep 20, 1998","4.436","4.436","4.436","4.436","-0.20%"
"Sep 13, 1998","4.445","4.445","4.445","4.445","-1.42%"
"Sep 06, 1998","4.509","4.509","4.509","4.509","-4.17%"
"Aug 30, 1998","4.705","4.705","4.705","4.705","-1.05%"
"Aug 23, 1998","4.755","4.755","4.755","4.755","1.43%"
"Aug 16, 1998","4.688","4.688","4.688","4.688","-2.46%"
"Aug 09, 1998","4.806","4.806","4.806","4.806","-0.91%"
"Aug 02, 1998","4.850","4.850","4.850","4.850","-1.78%"
"Jul 26, 1998","4.938","4.938","4.938","4.938","-0.20%"
"Jul 19, 1998","4.948","4.948","4.948","4.948","-0.62%"
"Jul 12, 1998","4.979","4.979","4.979","4.979","0.30%"
"Jul 05, 1998","4.964","4.964","4.964","4.964","-1.12%"
"Jun 28, 1998","5.020","5.020","5.020","5.020","-0.93%"
"Jun 21, 1998","5.067","5.067","5.067","5.067","-0.47%"
"Jun 14, 1998","5.091","5.091","5.091","5.091","0.85%"
"Jun 07, 1998","5.048","5.048","5.048","5.048","-1.71%"
"May 31, 1998","5.136","5.136","5.136","5.136","-0.19%"
"May 24, 1998","5.146","5.146","5.146","5.146","-0.94%"
"May 17, 1998","5.195","5.195","5.195","5.195","-1.57%"
"May 10, 1998","5.278","5.278","5.278","5.278","1.21%"
"May 03, 1998","5.215","5.215","5.215","5.215","-0.61%"
"Apr 26, 1998","5.247","5.247","5.247","5.247","1.18%"
"Apr 19, 1998","5.186","5.186","5.186","5.186","1.61%"
"Apr 12, 1998","5.104","5.104","5.104","5.104","0.00%"
"Apr 05, 1998","5.104","5.104","5.104","5.104","0.10%"
"Mar 29, 1998","5.099","5.099","5.099","5.099","-0.82%"
"Mar 22, 1998","5.141","5.141","5.141","5.141","0.16%"
"Mar 15, 1998","5.133","5.133","5.133","5.133","-1.04%"
"Mar 08, 1998","5.187","5.187","5.187","5.187","-2.22%"
"Mar 01, 1998","5.305","5.305","5.305","5.305","-0.67%"
"Feb 22, 1998","5.341","5.341","5.341","5.341","-0.06%"
"Feb 15, 1998","5.344","5.344","5.344","5.344","-0.34%"
"Feb 08, 1998","5.362","5.362","5.362","5.362","-1.61%"
"Feb 01, 1998","5.450","5.450","5.450","5.450","-0.18%"
"Jan 25, 1998","5.460","5.460","5.460","5.460","-0.04%"
"Jan 18, 1998","5.462","5.462","5.462","5.462","0.76%"
"Jan 11, 1998","5.421","5.421","5.421","5.421","0.56%"
