"Date","Price","Open","High","Low","Change %"
"Dec 29, 2019","14.125","14.184","14.184","14.125","-0.42%"
"Dec 22, 2019","14.184","14.389","14.389","14.184","-1.43%"
"Dec 15, 2019","14.389","14.431","14.431","14.389","-0.28%"
"Dec 08, 2019","14.431","14.367","14.431","14.367","0.44%"
"Dec 01, 2019","14.367","14.324","14.367","14.324","0.30%"
"Nov 24, 2019","14.325","14.325","14.325","14.324","0.00%"
"Nov 17, 2019","14.325","14.457","14.457","14.325","-0.91%"
"Nov 10, 2019","14.457","14.621","14.621","14.457","-1.13%"
"Nov 03, 2019","14.622","14.622","14.622","14.579","0.00%"
"Oct 27, 2019","14.622","14.686","14.686","14.622","-0.44%"
"Oct 20, 2019","14.686","14.901","14.922","14.686","-1.44%"
"Oct 13, 2019","14.901","14.690","14.901","14.310","1.44%"
"Oct 06, 2019","14.690","14.240","14.690","14.200","3.16%"
"Sep 29, 2019","14.240","13.869","14.320","13.869","2.68%"
"Sep 22, 2019","13.869","14.010","14.010","13.830","-1.01%"
"Sep 15, 2019","14.010","14.500","14.500","13.900","-3.38%"
"Sep 08, 2019","14.500","14.520","14.520","14.480","-0.14%"
"Sep 01, 2019","14.520","14.710","14.710","14.500","-1.29%"
"Aug 25, 2019","14.710","15.320","15.430","14.710","-3.98%"
"Aug 18, 2019","15.320","15.519","15.519","15.310","-1.28%"
"Aug 11, 2019","15.519","15.544","15.580","15.519","-0.16%"
"Aug 04, 2019","15.544","15.690","15.690","15.544","-0.93%"
"Jul 28, 2019","15.690","15.710","15.730","15.690","-0.13%"
"Jul 21, 2019","15.710","15.790","15.790","15.690","-0.51%"
"Jul 14, 2019","15.790","15.830","15.830","15.790","-0.25%"
"Jul 07, 2019","15.830","15.810","15.872","15.810","0.13%"
"Jun 30, 2019","15.810","15.730","15.810","15.730","0.51%"
"Jun 23, 2019","15.730","15.820","15.850","15.730","-0.57%"
"Jun 16, 2019","15.820","16.050","16.050","15.820","-1.43%"
"Jun 09, 2019","16.050","16.040","16.100","16.040","0.06%"
"Jun 02, 2019","16.040","15.964","16.040","15.964","0.48%"
"May 26, 2019","15.964","15.910","16.002","15.910","0.34%"
"May 19, 2019","15.910","15.920","15.920","15.910","-0.06%"
"May 12, 2019","15.920","16.090","16.090","15.920","-1.06%"
"May 05, 2019","16.090","16.330","16.330","16.050","-1.47%"
"Apr 28, 2019","16.330","16.260","16.330","16.260","0.43%"
"Apr 21, 2019","16.260","16.450","16.450","16.260","-1.16%"
"Apr 14, 2019","16.450","16.350","16.450","16.330","0.61%"
