"Date","Price","Open","High","Low","Change %"
"Dec 31, 2017","1.774","1.692","1.786","1.681","5.28%"
"Dec 24, 2017","1.685","1.668","1.699","1.657","1.38%"
"Dec 17, 2017","1.662","1.561","1.709","1.561","7.23%"
"Dec 10, 2017","1.550","1.501","1.593","1.493","3.13%"
"Dec 03, 2017","1.503","1.520","1.566","1.481","-1.12%"
"Nov 26, 2017","1.520","1.443","1.525","1.405","5.56%"
"Nov 19, 2017","1.440","1.457","1.481","1.435","-1.17%"
"Nov 12, 2017","1.457","1.476","1.483","1.435","-0.41%"
"Nov 05, 2017","1.463","1.440","1.476","1.391","1.60%"
"Oct 29, 2017","1.440","1.413","1.445","1.385","0.91%"
"Oct 22, 2017","1.427","1.473","1.522","1.374","-3.12%"
"Oct 15, 2017","1.473","1.551","1.551","1.443","-4.41%"
"Oct 08, 2017","1.541","1.548","1.578","1.540","-0.58%"
"Oct 01, 2017","1.550","1.518","1.555","1.507","2.11%"
"Sep 24, 2017","1.518","1.600","1.645","1.495","-5.42%"
"Sep 17, 2017","1.605","1.603","1.614","1.544","0.38%"
"Sep 10, 2017","1.599","1.523","1.643","1.523","5.06%"
"Sep 03, 2017","1.522","1.332","1.527","1.329","13.58%"
"Aug 27, 2017","1.340","1.268","1.354","1.229","5.76%"
"Aug 20, 2017","1.267","1.244","1.285","1.239","1.85%"
"Aug 13, 2017","1.244","1.211","1.261","1.211","2.81%"
"Aug 06, 2017","1.210","1.238","1.262","1.208","-2.65%"
"Jul 30, 2017","1.243","1.328","1.335","1.225","-6.33%"
"Jul 23, 2017","1.327","1.251","1.358","1.251","6.16%"
"Jul 16, 2017","1.250","1.187","1.252","1.181","5.13%"
"Jul 09, 2017","1.189","1.143","1.257","1.096","2.06%"
"Jul 02, 2017","1.165","1.123","1.171","1.112","5.91%"
"Jun 25, 2017","1.100","0.898","1.108","0.879","22.91%"
"Jun 18, 2017","0.895","0.894","0.969","0.886","-0.11%"
"Jun 11, 2017","0.896","0.739","0.937","0.739","21.57%"
"Jun 04, 2017","0.737","0.697","0.753","0.692","6.97%"
"May 28, 2017","0.689","0.713","0.718","0.670","-3.37%"
"May 21, 2017","0.713","0.682","0.734","0.674","5.63%"
"May 14, 2017","0.675","0.683","0.704","0.649","-0.44%"
"May 07, 2017","0.678","0.676","0.724","0.673","-0.88%"
"Apr 30, 2017","0.684","0.730","0.735","0.664","-5.66%"
