"Date","Price","Open","High","Low","Change %"
"Apr 18, 2021","0.850","0.690","0.850","0.690","25.00%"
"Apr 11, 2021","0.680","0.610","0.730","0.610","13.33%"
"Apr 04, 2021","0.600","0.560","0.600","0.550","5.26%"
"Mar 28, 2021","0.570","0.540","0.590","0.540","16.33%"
"Mar 21, 2021","0.490","0.530","0.530","0.450","-7.55%"
"Mar 14, 2021","0.530","0.470","0.570","0.470","8.16%"
"Mar 07, 2021","0.490","0.510","0.550","0.490","-3.92%"
"Feb 28, 2021","0.510","0.500","0.520","0.500","2.00%"
"Feb 21, 2021","0.500","0.430","0.540","0.430","16.28%"
"Feb 14, 2021","0.430","0.440","0.440","0.420","-2.27%"
"Feb 07, 2021","0.440","0.450","0.460","0.420","-2.22%"
"Jan 31, 2021","0.450","0.460","0.470","0.440","-4.26%"
"Jan 24, 2021","0.470","0.490","0.490","0.470","-4.08%"
"Jan 17, 2021","0.490","0.480","0.500","0.480","0.00%"
"Jan 10, 2021","0.490","0.510","0.510","0.480","-3.92%"
"Jan 03, 2021","0.510","0.530","0.530","0.500","-5.56%"
"Dec 27, 2020","0.540","0.560","0.580","0.540","-3.57%"
"Dec 20, 2020","0.560","0.520","0.580","0.520","3.70%"
"Dec 13, 2020","0.540","0.470","0.540","0.470","14.89%"
"Dec 06, 2020","0.470","0.470","0.470","0.460","-4.08%"
"Nov 29, 2020","0.490","0.500","0.500","0.490","0.00%"
"Nov 22, 2020","0.490","0.480","0.510","0.400","2.08%"
"Nov 15, 2020","0.480","0.500","0.500","0.480","-4.00%"
"Nov 08, 2020","0.500","0.460","0.500","0.450","16.28%"
"Nov 01, 2020","0.430","0.440","0.440","0.410","-12.24%"
"Oct 25, 2020","0.490","0.470","0.490","0.470","4.26%"
"Oct 18, 2020","0.470","0.490","0.500","0.470","-4.08%"
"Oct 11, 2020","0.490","0.490","0.490","0.490","0.00%"
"Oct 04, 2020","0.490","0.490","0.520","0.480","8.89%"
"Sep 27, 2020","0.450","0.490","0.490","0.450","-8.16%"
"Sep 20, 2020","0.490","0.490","0.490","0.480","0.00%"
"Sep 13, 2020","0.490","0.490","0.490","0.490","0.00%"
"Sep 06, 2020","0.490","0.450","0.500","0.450","6.52%"
"Aug 30, 2020","0.460","0.560","0.560","0.460","-6.12%"
"Aug 23, 2020","0.490","0.480","0.510","0.470","2.08%"
"Aug 16, 2020","0.480","0.480","0.480","0.430","-4.00%"
"Aug 09, 2020","0.500","0.200","0.500","0.200","92.31%"
"Aug 02, 2020","0.260","0.230","0.310","0.220","13.04%"
"Jul 26, 2020","0.230","0.220","0.230","0.200","4.55%"
"Jul 19, 2020","0.220","0.240","0.240","0.190","-8.33%"
"Jul 12, 2020","0.240","0.190","0.260","0.190","26.32%"
"Jul 05, 2020","0.190","0.250","0.250","0.150","-32.14%"
"Jun 28, 2020","0.280","0.250","0.290","0.230","12.00%"
"Jun 21, 2020","0.250","0.160","0.250","0.160","56.25%"
"Jun 14, 2020","0.160","0.250","0.250","0.130","-33.33%"
"Jun 07, 2020","0.240","0.350","0.350","0.200","-31.43%"
"May 31, 2020","0.350","0.310","0.350","0.300","12.90%"
"May 24, 2020","0.310","0.370","0.400","0.310","-11.43%"
"May 17, 2020","0.350","0.380","0.420","0.330","-14.63%"
"May 10, 2020","0.410","0.430","0.430","0.390","-8.89%"
"May 03, 2020","0.450","0.540","0.540","0.450","21.62%"
"Apr 26, 2020","0.370","0.400","0.400","0.350","0.00%"
"Apr 19, 2020","0.370","0.520","0.520","0.370","-24.49%"
"Apr 12, 2020","0.490","0.480","0.530","0.480","-10.91%"
"Apr 05, 2020","0.550","0.570","0.570","0.540","-3.51%"
"Mar 29, 2020","0.570","0.950","0.950","0.550","-39.36%"
"Mar 22, 2020","0.940","1.300","1.300","0.940","-27.69%"
"Mar 15, 2020","1.300","1.200","1.300","1.060","-21.21%"
"Mar 08, 2020","1.650","1.540","1.750","1.530","0.00%"
"Mar 01, 2020","1.650","1.860","1.860","1.620","-12.70%"
"Feb 23, 2020","1.890","1.950","1.950","1.860","-5.03%"
"Feb 16, 2020","1.990","1.950","1.990","1.950","4.74%"
"Feb 09, 2020","1.900","1.940","1.950","1.900","0.00%"
"Feb 02, 2020","1.900","1.930","1.930","1.840","-0.52%"
"Jan 26, 2020","1.910","1.870","1.910","1.850","0.00%"
"Jan 19, 2020","1.910","1.850","1.950","1.850","3.24%"
"Jan 12, 2020","1.850","1.930","1.930","1.820","1.09%"
"Jan 05, 2020","1.830","1.940","1.940","1.800","-2.14%"
"Dec 29, 2019","1.870","1.800","1.870","1.770","0.00%"
"Dec 22, 2019","1.870","1.850","1.930","1.850","1.08%"
"Dec 15, 2019","1.850","1.770","1.850","1.750","1.09%"
"Dec 08, 2019","1.830","1.930","1.930","1.830","-5.18%"
"Dec 01, 2019","1.930","1.920","2.010","1.900","12.21%"
"Nov 24, 2019","1.720","1.750","1.900","1.720","-8.02%"
"Nov 17, 2019","1.870","1.800","1.870","1.800","5.65%"
"Nov 10, 2019","1.770","1.680","1.930","1.680","5.36%"
"Nov 03, 2019","1.680","1.700","1.700","1.640","-4.00%"
"Oct 27, 2019","1.750","1.730","1.750","1.730","3.55%"
"Oct 20, 2019","1.690","1.900","1.900","1.690","-3.98%"
"Oct 13, 2019","1.760","1.750","1.800","1.750","1.73%"
"Oct 06, 2019","1.730","1.770","1.770","1.700","-2.26%"
"Sep 29, 2019","1.770","1.740","1.770","1.740","-2.75%"
"Sep 22, 2019","1.820","1.740","1.840","1.730","1.11%"
"Sep 15, 2019","1.800","1.760","1.800","1.760","2.86%"
"Sep 08, 2019","1.750","1.810","1.810","1.710","-3.31%"
"Sep 01, 2019","1.810","1.950","1.950","1.810","-7.18%"
"Aug 25, 2019","1.950","1.960","1.960","1.930","1.56%"
"Aug 18, 2019","1.920","2.050","2.050","1.870","-8.57%"
"Aug 11, 2019","2.100","1.990","2.100","1.980","5.53%"
"Aug 04, 2019","1.990","2.000","2.000","1.990","-1.00%"
"Jul 28, 2019","2.010","2.170","2.170","2.000","-7.37%"
"Jul 21, 2019","2.170","2.250","2.260","2.170","-3.56%"
"Jul 14, 2019","2.250","2.460","2.460","2.250","-8.54%"
"Jul 07, 2019","2.460","2.510","2.510","2.460","-1.20%"
"Jun 30, 2019","2.490","2.510","2.510","2.490","-2.35%"
"Jun 23, 2019","2.550","2.500","2.550","2.490","2.00%"
"Jun 16, 2019","2.500","2.550","2.550","2.480","-1.96%"
"Jun 09, 2019","2.550","2.870","2.870","2.480","-11.15%"
"Jun 02, 2019","2.870","2.960","2.960","2.860","-3.04%"
"May 26, 2019","2.960","3.110","3.110","2.960","-6.62%"
"May 19, 2019","3.170","3.250","3.260","3.170","-2.46%"
"May 12, 2019","3.250","3.230","3.250","3.200","1.88%"
"May 05, 2019","3.190","3.240","3.240","3.190","-1.85%"
"Apr 28, 2019","3.250","3.320","3.320","3.250","-0.61%"
"Apr 21, 2019","3.270","3.250","3.270","3.230","0.62%"
"Apr 14, 2019","3.250","3.260","3.300","3.250","0.00%"
"Apr 07, 2019","3.250","3.260","3.280","3.240","-1.52%"
"Mar 31, 2019","3.300","3.380","3.380","3.300","-1.49%"
"Mar 24, 2019","3.350","3.400","3.400","3.330","-1.18%"
"Mar 17, 2019","3.390","3.400","3.420","3.390","-0.29%"
"Mar 10, 2019","3.400","3.390","3.420","3.390","-1.16%"
"Mar 03, 2019","3.440","3.480","3.500","3.420","-1.15%"
"Feb 24, 2019","3.480","3.430","3.490","3.430","0.58%"
"Feb 17, 2019","3.460","3.300","3.460","3.300","3.90%"
"Feb 10, 2019","3.330","3.500","3.500","3.310","-4.86%"
"Feb 03, 2019","3.500","3.510","3.510","3.500","-0.28%"
"Jan 27, 2019","3.510","3.480","3.510","3.370","-0.28%"
"Jan 20, 2019","3.520","3.480","3.520","3.450","1.15%"
"Jan 13, 2019","3.480","3.490","3.500","3.480","-1.69%"
"Jan 06, 2019","3.540","3.440","3.540","3.440","2.91%"
"Dec 30, 2018","3.440","3.450","3.450","3.430","0.58%"
"Dec 23, 2018","3.420","3.540","3.540","3.420","-3.39%"
"Dec 16, 2018","3.540","3.650","3.680","3.540","-4.07%"
"Dec 09, 2018","3.690","3.680","3.710","3.670","4.53%"
"Dec 02, 2018","3.530","3.740","3.760","3.530","-5.61%"
"Nov 25, 2018","3.740","3.760","3.760","3.730","-0.53%"
"Nov 18, 2018","3.760","3.780","3.780","3.750","-0.53%"
"Nov 11, 2018","3.780","3.750","3.780","3.750","0.00%"
"Nov 04, 2018","3.780","3.770","3.790","3.740","0.27%"
"Oct 28, 2018","3.770","3.800","3.800","3.640","-1.05%"
"Oct 21, 2018","3.810","3.830","3.840","3.770","0.53%"
"Oct 14, 2018","3.790","3.860","3.870","3.680","-0.79%"
"Oct 07, 2018","3.820","3.720","3.870","3.720","0.79%"
"Sep 30, 2018","3.790","3.700","3.790","3.650","3.55%"
"Sep 23, 2018","3.660","3.620","3.720","3.610","5.17%"
"Sep 16, 2018","3.480","3.540","3.620","3.480","-1.69%"
"Sep 09, 2018","3.540","3.600","3.620","3.540","-0.56%"
"Sep 02, 2018","3.560","3.490","3.570","3.430","2.89%"
"Aug 26, 2018","3.460","3.450","3.490","3.430","0.29%"
"Aug 19, 2018","3.450","3.480","3.520","3.430","0.58%"
"Aug 12, 2018","3.430","3.490","3.490","3.420","-0.58%"
"Aug 05, 2018","3.450","3.420","3.490","3.420","0.58%"
"Jul 29, 2018","3.430","3.400","3.440","3.400","0.00%"
"Jul 22, 2018","3.430","3.430","3.430","3.410","0.29%"
"Jul 15, 2018","3.420","3.410","3.420","3.400","0.29%"
"Jul 08, 2018","3.410","3.400","3.420","3.390","0.29%"
"Jul 01, 2018","3.400","3.440","3.440","3.400","-1.45%"
"Jun 24, 2018","3.450","3.430","3.450","3.410","0.58%"
"Jun 17, 2018","3.430","3.440","3.440","3.430","0.00%"
"Jun 10, 2018","3.430","3.440","3.460","3.430","-0.29%"
"Jun 03, 2018","3.440","3.460","3.460","3.420","-0.58%"
"May 27, 2018","3.460","3.380","3.460","3.380","2.37%"
"May 20, 2018","3.380","3.430","3.440","3.380","-1.46%"
"May 13, 2018","3.430","3.220","3.430","3.220","7.19%"
"May 06, 2018","3.200","3.160","3.250","3.150","2.56%"
"Apr 29, 2018","3.120","3.160","3.180","3.120","-1.89%"
"Apr 22, 2018","3.180","3.130","3.180","3.120","2.25%"
"Apr 15, 2018","3.110","3.120","3.120","3.110","-0.32%"
"Apr 08, 2018","3.120","3.190","3.190","3.120","-2.19%"
"Apr 01, 2018","3.190","3.180","3.220","3.180","-0.31%"
"Mar 25, 2018","3.200","3.220","3.220","3.180","-0.62%"
"Mar 18, 2018","3.220","3.250","3.270","3.220","-0.31%"
"Mar 11, 2018","3.230","3.250","3.270","3.170","-0.62%"
"Mar 04, 2018","3.250","3.220","3.250","3.170","1.25%"
"Feb 25, 2018","3.210","3.190","3.210","3.170","0.00%"
"Feb 18, 2018","3.210","3.220","3.220","3.210","-0.31%"
"Feb 11, 2018","3.220","3.250","3.250","3.210","-0.92%"
"Feb 04, 2018","3.250","3.240","3.270","3.220","0.93%"
"Jan 28, 2018","3.220","3.160","3.220","3.160","2.55%"
"Jan 21, 2018","3.140","3.220","3.220","3.140","-2.48%"
"Jan 14, 2018","3.220","3.280","3.280","3.210","-1.83%"
"Jan 07, 2018","3.280","3.320","3.320","3.280","0.00%"
"Dec 31, 2017","3.280","3.300","3.320","3.280","-1.80%"
"Dec 24, 2017","3.340","3.390","3.390","3.340","-2.05%"
"Dec 17, 2017","3.410","3.450","3.450","3.410","-0.87%"
"Dec 10, 2017","3.440","3.430","3.470","3.430","0.58%"
"Dec 03, 2017","3.420","3.390","3.420","3.390","1.48%"
"Nov 26, 2017","3.370","3.390","3.420","3.350","-0.59%"
"Nov 19, 2017","3.390","3.350","3.410","3.350","1.19%"
"Nov 12, 2017","3.350","3.320","3.350","3.320","1.21%"
"Nov 05, 2017","3.310","3.280","3.330","3.280","0.61%"
"Oct 29, 2017","3.290","3.250","3.300","3.250","1.23%"
"Oct 22, 2017","3.250","3.250","3.260","3.230","0.00%"
"Oct 15, 2017","3.250","3.330","3.330","3.250","-2.11%"
"Oct 08, 2017","3.320","3.290","3.340","3.290","0.61%"
"Oct 01, 2017","3.300","3.280","3.340","3.280","0.92%"
"Sep 24, 2017","3.270","3.190","3.270","3.190","3.81%"
"Sep 17, 2017","3.150","3.240","3.240","3.150","-0.63%"
