Date,Close,Symbol,PositionRisk,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Decimals,Spread,Commission,CostPerTrade,InstCapital,Exposure
2023-08-07,242.878,gf,89.35,-313,-313,-313,FALSE,271.833124657169,242.801380116203,0.775723259157197,0,-298.601160681431,2174.66499725735,-2.74618077780276,1.69212814798163,-20,20,-0.006672409045048,0.128723159380278,1.095158,0.020833333333333,Future,0.01,300,0.01,3,0.2,0,0.1,940.625,2411.42504188378
2023-08-07,132.048,gg,315.54,-28.75,-28.75,-28.75,FALSE,9.42727255783775,-5.72483765258011,0.775723259157197,-36.13,-18.0626910831657,75.418180462702,-4.79000977545424,-14.3729611824585,8.01666091828766,-14.410935478002,-0.004005658617576,0.091026551757395,1.095158,0.027777777777778,Future,1,1,0.01,3,0.028,0,0.014,1254.16666666667,4546.75028340151
2023-08-07,95.571,he,1201.14,4352,4352,4352,FALSE,562.337704460942,-40.3376094761742,0.775723259157197,4300,4175.66973925784,4498.70163568754,18.5638883278361,-5.0638993755552,20,7.20578872361558,0.019899314018091,0.316267020741653,1.095158,0.041666666666667,Future,0.01,800,0.01,3,0.1,0,0.05,1881.25,1962.93783191235
2023-08-07,382.82,hg,186.13,-218,-218,-218,FALSE,72.7103605826651,169.107670496269,0.775723259157197,0,-11.5193077700439,581.682884661321,-0.396068307106917,10.1571651516954,-1.6235425889305,-1.16997689693891,-0.003025563080046,0.244256604479487,1.095158,0.016666666666667,Future,0.01,200,0.1,2,0.2,0,0.1,752.5,1016.65623547491
2023-08-07,19354.7,hs,66.54,-0.1,-0.1,-0.1,FALSE,0.066643331977817,-0.07757232591572,0.775723259157197,-0.2,-0.170242836898688,0.533146655822539,-6.38634173315921,-9.52141331060841,-5.90605695520772,-0.880978366936934,-0.003615316151757,0.29387931968207,8.5483,0.011904761904762,Index,1,0.1,0.1,1,5,0,2.5,537.5,603.564075865874
2023-08-07,16296.56,jpy,37.56,-16.01,-3.59067062089328,-16.01,CUSTOM,5.93438996485475,12.4193293791067,0.775723259157197,0,-18.0319522907575,47.475119718838,-7.59637991333066,-2.19823337560039,-0.540229378087697,-11.4357881223747,-0.004236082789603,0.100240753643741,156.154999,0.016666666666667,Cash,1,0.01,0.01,2,5,0,2.5,752.5,2477.28584406455
2023-08-07,163.82,kc,240.31,-510,-510,-510,FALSE,131.753842201533,395.61886217017,0.775723259157197,0,-219.368888993851,1054.03073761226,-4.16247612457292,-9.28070923145702,2.09064557182185,-7.2305898645346,0.010493146933974,0.31499743853097,1.095158,0.016666666666667,Future,0.01,500,0.01,2,0.3,0,0.15,752.5,788.339743834408
2023-08-07,486.6,lb,676.33,-2.9,-2.9,-2.9,FALSE,0.665484578932494,-1.08601256282008,0.775723259157197,-4.3,-4.2602154343634,5.32387663145995,-16.0041854057581,1.46302862836831,-10.7035111772125,-13.6600105285066,9.04642522323e-4,0.524888600290425,1.095158,0.041666666666667,Future,1,2,0.01,2,1,1,1.5,1881.25,1182.75096783679
2023-08-07,180.004,le,0,0,0,0,FALSE,409.139766647229,0,0.775723259157197,0,-199.921127697812,3273.11813317783,-1.22159433031958,-17.5757878452567,-9.72669912881732,14.5163303218032,-0.008568549231747,0.11539670191654,1.095158,0.020833333333333,Future,0.01,500,0.01,3,0.09,0,0.045,940.625,2689.90573252691
2023-08-07,889.4,lf,592.4,2,2,2,FALSE,0.261988530979702,0.07757232591572,0.775723259157197,2.1,1.37681474693388,2.09590824783762,13.1381204149023,-5.74432321315861,9.92704574237811,10.9241409834875,-0.015014886588456,0.364726938301852,1.095158,0.020833333333333,Future,1,1,0.01,2,0.5,0,0.25,940.625,851.064775871051
2023-08-07,3.0433,lo,436,0,97.7846590074623,436,CUSTOM,74.4878615455664,-338.215340992538,0.775723259157197,0,276.989742842368,595.902892364532,9.29647250891089,-5.51647627718737,4.86776889390774,10.788528800097,-0.010590064652068,0.374901323331927,1.095158,0.020833333333333,Future,1,250,0.1,4,0.0028,0,0.0014,940.625,827.967869628391
2023-08-07,71620.95,lx,250.05,-0.4,-0.4,-0.4,FALSE,0.070935591911783,-0.07757232591572,0.775723259157197,-0.5,-0.242199915803004,0.567484735294266,-8.53590945234545,-1.34015009074847,-15.6600819519357,5.68362420869765,-7.28571550525e-4,0.178064202253764,20.40086,0.011904761904762,Index,1,0.1,0.1,1,10,0,5,537.5,996.129473274016
2023-08-07,7334.07,mx,0,0,0,0,FALSE,0.039450137309986,0,0.775723259157197,0,0.006175025712738,0.315601098479884,0.391318391633008,17.1474558837569,-7.86547155631955,6.19717279384855,0.009228345918064,0.153263538157664,1,0.011904761904762,Index,1,0.05,0.01,2,1,0,0.5,537.5,1157.32027416418
2023-08-07,2.7525,ng,0,-153,-34.3143413489489,-153,CUSTOM,99.1555440350717,118.685658651051,0.775723259157197,0,26.030231561385,793.244352280574,0.656297936103755,4.48291506204067,1.5186483192582,-1.92520927107666,0.062977523960741,0.622777497598637,1.095158,0.041666666666667,Future,1,100,0.1,3,0.003,0,0.0015,1881.25,996.84478388154
2023-08-07,893.37,nok,22.21,2.85,2.85,2.85,FALSE,5.69001274974732,-2.21081128859801,0.775723259157197,0,10.5518768754307,45.5201019979786,4.63613938118999,1.22918402817615,0,7.41960296160595,-0.001062824191472,0.097739697689837,11.20426,0.011904761904762,Cash,1,0.01,0.01,2,0.6,0,0.3,537.5,1814.76927177405
2023-08-07,32392.96,ny,196.82,5,5,5,FALSE,1.12650324577997,0.155144651831439,0.775723259157197,5.2,2.5985309886094,9.0120259662398,5.76680759319565,12.1539440734276,0.125210632506157,6.41634667966982,0.01364374663271,0.189760242596264,156.154999,0.011904761904762,Index,1,1,0.01,2,7,0,3.5,537.5,934.732152389713
2023-08-07,956.12,nzd,15.89,0.36,0.36,0.36,FALSE,1.00488552347038,-0.279260373296591,0.775723259157197,0,1.6066919342183,8.03908418776306,3.99720141422072,16.7003638346033,6.38414325121868,-5.49326766563964,0.001381533721924,0.083097759421161,1.80047,0.011904761904762,Cash,1,0.01,0.01,2,0.5,0,0.25,537.5,2134.53408654518
2023-08-07,307.825,oj,746.19,862,862,862,FALSE,143.432634051972,221.437961559013,0.775723259157197,1147.46,1053.16212219944,1147.46107241577,18.3563895545875,9.61453951071031,9.88976924953924,15.8281361513776,0.006959923126152,0.307974930774234,1.095158,0.033333333333333,Future,0.01,300,0.01,2,0.6,0,0.3,1505,1612.63125784766
2023-08-07,1135.44,ow,50.39,3.25,3.25,3.25,FALSE,2.85982676543136,-1.52041758794811,0.775723259157197,1.29,0.733846993185003,22.8786141234509,0.641513501845201,7.43748755482588,-9.12310404975123,10.6136973432246,-0.006601147565901,0.153007133579504,11.20426,0.011904761904762,Index,1,1,0.01,2,0.9,0,0.45,537.5,1159.25967535255
2023-08-07,1229.435,pa,422.21,-1.1,-1.1,-1.1,FALSE,0.161744258783625,0.287017605888163,0.775723259157197,-0.73,-0.666882708348263,1.293954070269,-10.3076720213048,6.19337935358496,-1.96714622027357,-16.2688654318957,-0.017320569275393,0.341902901303629,1.095158,0.016666666666667,Future,1,0.6,0.01,2,1.49,0,0.745,752.5,726.302698962691
2023-08-07,923.69,pl,161.98,-0.73,-0.73,0,TRUE,0.279789838610677,-0.73,0.775723259157197,-0.73,-0.782569934596285,2.23831870888541,-6.99247994925594,6.95181959853402,-1.91032066378005,-11.0041873186683,-0.001871171000934,0.263074681402212,1.095158,0.016666666666667,Future,1,0.7,0.01,2,1,0,0.5,752.5,943.933481840231
2023-08-07,2.88385,rb,540.51,583,583,583,FALSE,83.7016980909857,67.1776342430132,0.775723259157197,669.6,669.613584727886,669.613584727886,20,14.0219076182758,20,8.84894237905985,0.012825274602677,0.352079152115773,1.095158,0.020833333333333,Future,1,250,0.1,4,0.0025,0,0.00125,940.625,881.637688953335
2023-08-07,2718.5,rm,342.97,0.5,0.5,0.5,FALSE,0.090504120255518,0.173762010051212,0.775723259157197,0.724,0.623283579622599,0.724032962044147,17.2169945927019,5.32629695565408,12.3633571355749,11.9092203294543,0.024841602905357,0.276337321856482,1.095158,0.016666666666667,Future,1,0.3,1e-4,1,3,0,1.5,752.5,898.629972714902
2023-08-07,23.904,sb,273.75,5000,5000,5000,FALSE,1133.9117896468,-3878.61629578598,0.775723259157197,0,2507.84542764414,9071.29431717437,5.52918985970088,-6.48227444722302,8.60039365417977,0.085392976915849,-5.43694206321e-4,0.250834564875012,1.095158,0.016666666666667,Future,0.01,5000,1,3,0.04,0,0.02,752.5,989.995139321158
2023-08-07,928.04,sek,68.91,-24.46,-10.9236291277069,-24.46,CUSTOM,7.02707212957668,13.5363708722931,0.775723259157197,-7.01,-24.6405640945701,56.2165770366135,-8.76629826768781,-20,0,-9.61049711281302,3.23267153383711e-5,0.079405345561828,11.67773,0.011904761904762,Cash,1,0.01,0.01,2,0.6,0,0.3,537.5,2233.79167668112
2023-08-07,1065.06,sgd,262.6,17.25,17.25,17.25,FALSE,4.07804185648219,-4.06478987798371,0.775723259157197,12.01,10.8587739878473,32.6243348518575,6.65685540389126,3.55989673636481,0,10.2047848223942,9.38958320331196e-5,0.020975523535677,1.4675,0.016666666666667,Cash,1,0.01,0.01,2,0.3,0,0.15,752.5,11838.7986634819
2023-08-07,23.1585,si,256.27,-42,-42,-42,FALSE,10.1744863491953,-15.1033318557906,0.775723259157197,-61.47,-30.733422312789,81.3958907935624,-7.55159063022866,-1.66876989255623,-8.70948241125683,-1.28193889650433,-0.020451397163707,0.288545504925975,1.095158,0.016666666666667,Future,1,30,0.01,3,0.025,0,0.0125,752.5,860.609490567897
2023-08-07,681,sw,0,0,0,0,FALSE,0.424914581137562,0,0.775723259157197,0,0.598776009407893,3.3993166491005,3.5229198760659,-0.223475693428375,-2.27011274160778,8.76504297714332,-0.006732061134058,0.234957053111926,1.095158,0.016666666666667,Future,1,2,0.001,2,0.7,0,0.35,752.5,1056.89527814135
2023-08-07,1053.565,usd,340.42,6.23,6.22983898062235,5.33,TRUE,0.811529755674228,0.899838980622348,0.775723259157197,6.49,3.32201920446043,6.49223804539382,10.2338182341215,17.0111044707165,6.92484960234594,4.14752560292426,0.001348713939956,0.056799356316237,1.095158,0.011904761904762,Cash,1,0.01,0.01,2,0.25,0,0.125,537.5,3122.83468517572
2023-08-07,504.47,zc,288.41,170,170,170,FALSE,60.9894113149261,-131.872954056723,0.775723259157197,0,105.227614366483,487.915290519409,4.31335588005301,8.75570586702005,20,-20,-0.00527872638655,0.368295316745435,1.095158,0.027777777777778,Future,0.01,150,0.1,2,0.9,0,0.45,1254.16666666667,1123.75851981324
2023-08-07,65.908,zl,505.05,2200,2200,2200,FALSE,225.353388568585,-1706.59117014583,0.775723259157197,0,1753.16446696747,1802.82710854868,19.4490581892659,7.73613769819758,20,5.48106255756042,-0.020276140319497,0.381464177838962,1.095158,0.013888888888889,Future,0.01,2000,1,3,0.09,0,0.045,627.083333333333,542.482130752944
2023-08-07,428.68,zm,445.99,4,4,4,FALSE,0.463997412479534,-1.55144651831439,0.775723259157197,2,1.98414826511894,3.71197929983627,10.6905136308624,-20,20,-2.18247728189596,-0.009241480311927,0.284844085384578,1.095158,0.013888888888889,Future,1,2,0.001,2,0.7,0,0.35,627.083333333333,726.493933411349
2023-08-07,110.699,zn,244.19,-31.07,-31.0724745691399,-55.5,TRUE,13.1650575638035,24.4275254308601,0.775723259157197,-24.01,-98.2983845403322,105.320460510428,-18.6665314724102,-16.9490950029846,-10.6087675477557,-13.6126526019096,-0.002183722217719,0.07775342388141,1.095158,0.027777777777778,Future,1,0.01,0.01,3,0.03,0,0.015,1254.16666666667,5322.91671979928
2023-08-07,418.32,zo,310.52,240,240,240,FALSE,79.9707106276571,-186.173582197727,0.775723259157197,0,96.6459663854456,639.765685021257,3.02129259659291,-6.57261791678517,2.06948815981773,4.0917819404123,-0.006742374881497,0.338724334649848,1.095158,0.027777777777778,Future,0.01,200,0.01,2,0.9,0,0.45,1254.16666666667,1221.86379206513
2023-08-07,16.861,zr,701.4,193,193,193,FALSE,28.47083557325,-10.0844023690436,0.775723259157197,180,140.042534544365,227.766684586,12.2970165543669,6.93768508009009,20,-6.23939367941102,-0.012319274010506,0.23604914996788,1.095158,0.027777777777778,Future,1,50,0.01,3,0.04,0,0.02,1254.16666666667,1753.34247149934
2023-08-07,1412.71,zs,506.22,146,146,146,FALSE,29.841671175017,10.8601256282008,0.775723259157197,160,112.60511847076,238.733369400136,9.43354661760962,-10.2461244615459,20,-6.71589118859748,-0.03313204851013,0.268787966990373,1.095158,0.027777777777778,Future,0.01,50,0.1,2,1.5,0,0.75,1254.16666666667,1539.78247104649
2023-08-07,655.93,zw,821.66,-283,-283,-283,FALSE,35.6372168164618,56.6277979184754,0.775723259157197,-210,-197.449325942298,285.097734531694,-13.8513430327064,-20,-7.21944811090075,-9.06126158255141,0.04418292301377,0.484757691480015,1.095158,0.027777777777778,Future,0.01,80,0.1,2,0.8,0,0.4,1254.16666666667,853.777066922646
