Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2023-11-14,369.85,hg,506.06,0,-915.1,-915.1,-915.1,FALSE,254.60864722274096,220.6299124870492,-694.4700875129508,2036.869177781928,-6.818995496502156,-3.125838454264392,-6.794162698898634,-4.131993418754695,0.01194068395742853,0.16215331437067146,1.084481,0.05555555555555555,Future,0.01,200,0.1,0.2,0,0.1,-1.6240728536934188,-2.8352329786931065,2.713109466824524,-12.142857142857142,1706.6666666666663,3473.2561723195063
2023-11-14,17796.3,hs,701.05,0,-1.45,-1.45,-1.45,FALSE,0.2912183161662843,0.185375729979002,-1.264624270020998,2.3297465293302744,-10.85632496153593,-10.707414434852009,-6.176038877597503,-6.033373292489817,0.01433556057549267,0.2298997833628168,8.46222,0.05555555555555555,Index,1,0.1,0.01,5,0,2.5,-4.015915429141082,-4.451462827497953,1.917290625487452,-13.73015873015873,1706.6666666666663,2449.763073987698
2023-11-14,172.35,kc,0,0,0,0,0,FALSE,500,0,0,0,2.9841039894925423,-4.9702583412596235,1.530652385019274,5.698608297443564,-0.01239744867960723,0.32250856225189495,1.084481,0,Future,0.01,500,0.01,0.3,0,0.15,5.109714283698503,2.9590356600009367,11.800521644346151,-0.7142857142857142,0,0
2023-11-14,534.37,lb,0,0,0,0,0,FALSE,2,0.7055594262209801,0.7055594262209801,8.8968034184847,1.5860964731558624,3.3398049009885544,-6.467359913624629,3.678572803859187,0.00108597973524915,0.256944026959012,1.084481,0.05555555555555555,Future,1,2,0.01,1,1,1.5,2.935209253403552,1.5191164080647606,13.783640812754916,-5.8730158730158735,1706.6666666666663,2191.9170749582836
2023-11-14,174.298,le,311.07,0,-1283.38,-1283.38,-1283.38,FALSE,580.8904955956112,549.9082995259964,-733.4717004740037,4647.12396476489,-3.1566693982570015,9.271478718048424,-9.657624704298044,-4.015819537884524,0.01100712608394971,0.15081270442739408,1.084481,0.05555555555555555,Future,0.01,500,0.01,0.09,0,0.045,-4.0303851042635435,-1.314570324520686,-15.137724623862162,6.984126984126984,1706.6666666666663,3734.433396300123
2023-11-14,850.82,lf,0,0,0,0,0,FALSE,1,0,0,0,4.538046387519813,7.423518375883683,20,-7.661030671248757,0.01056310406607874,0.33798138090407326,1.084481,0,Future,1,1,0.01,0.5,0,0.25,-5.908998926076739,-4.622797594043358,-11.806868668017652,-3.412698412698413,0,0
2023-11-14,2.9201,lo,0,0,0,0,0,FALSE,250,0,0,0,3.616679272659181,3.6498353801936014,20,-7.00267865988456,0.01202364062175176,0.35175320238187485,1.084481,0,Future,1,250,0.1,0.0028,0,0.0014,-5.104954173717997,-4.524754349160273,-9.702357934250037,-4.2063492063492065,0,0
2023-11-14,67662.8,lx,0,0,0,0,0,FALSE,0.1,-0,-0,0,-8.706892083258422,-7.719768724749691,-11.637040942333336,-1.930784610803051,0.02712674609804466,0.20082424832746265,19.88735,0,Index,1,0.1,0.01,10,0,5,-1.6352810480121849,-2.4389259853168492,4.409571553505519,-6.825396825396825,0,0
2023-11-14,7199.68,mx,0,0,0,0,0,FALSE,0.05,0,0,0,1.129770095122551,3.2743897031069675,-8.011538730342924,3.8749346404480463,0.01475903179684401,0.13880854070993168,1,0,Index,1,0.05,0.01,1,0,0.5,1.776453740524932,1.4444981936224113,8.454832104706966,1.3492063492063502,0,0
2023-11-14,3.0145,ng,460.88,0,-311.1,-311.1,-311.1,FALSE,100,-22.47498768340853,-333.57498768340855,760.3428009408079,-8.774331453409186,-0.9475234559143378,-20,-1.2253468765884126,-0.02230697710903917,0.5329541678903988,1.084481,0.05555555555555555,Future,1,100,0.1,0.003,0,0.0015,-0.34159763393740394,-0.23670785563823377,-2.588126588592696,-0.9523809523809524,1706.6666666666663,1056.7512816896126
