Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-02-20,381.33,hg,137.73,653.4,-267.5,-267.53211211035034,-920.9,TRUE,353.3611290881332,653.3678878896496,-267.5321121103503,2826.889032705066,-1.892766988836115,1.2918178158559184,-8.076896411199826,0.8688499792238001,0.00871803770187718,0.14610098234808291,1.082017,0.05555555555555555,Future,0.01,200,0.1,0.2,0,0.00358984656134822,1,1.0769286346783689,-1.2786710574068123,3.836532268858865,-0.7142857142857144,-0.071405,0.011405,1819.4444444444443,4981.333910841617
2024-02-20,16166.1,hs,648.94,0,-1.4,-1.4,-1.4,FALSE,0.3925189207410629,0.04167016813811286,-1.358329831861887,3.1401513659285034,-8.65136532334164,-7.075542857799313,-5.37180000242154,-5.3114823343450945,-0.00176139622248427,0.2425508208445313,8.45921,0.05555555555555555,Index,1,0.1,1e-4,5,0,0.00127515211246453,1,-4.737342684645553,-4.147353418383757,4.364307304110223,-13.333333333333332,-0.075717,0.015717,1819.4444444444443,3000.516655617769
2024-02-20,189.42,kc,0,0,0,0,0,FALSE,500,0,0,0,5.181680298721613,-3.85036218530272,8.874856008463965,4.396660153381528,-0.00542292112665787,0.28389029609011823,1.082017,0,Future,0.01,500,0.01,0.3,0,0.00557885244194536,1,3.8266179306469295,3.243005392709044,-1.9734734146972437,9.682539682539684,0.058403,-0.118403,0,0
2024-02-20,552.12,lb,606.95,0,-5.27,-5.27,-5.27,FALSE,2,1.4461411358199738,-3.8238588641800257,12.63829230701668,-6.051227129882175,-0.9291348880206974,-20,2.3962646041674485,-0.00729060868159514,0.22570490399599388,1.082017,0.05555555555555555,Future,1,2,0.01,1,1,0.0080246393924142,1,1.9254727642309264,1.762984491734671,1.9058962220949207,2.4603174603174596,-0.21881,0.15881,1819.4444444444443,3224.4659504194706
2024-02-20,185.124,le,569.13,0,2681.99,2681.99,2681.99,FALSE,857.4001747861232,234.55620152090387,2916.5462015209037,6859.201398288986,8.504040141607245,12.908798647268194,-17.080244691094087,13.424443210722606,0.00294289698037175,0.12402995614603814,1.082017,0.05555555555555555,Future,0.01,500,0.01,0.09,0,0.00391970329247629,1,12.814235511839597,9.255539815757473,14.165514643085825,8.88888888888889,-0.104332,0.044332,1819.4444444444443,5867.758083546054
2024-02-20,845.2,lf,0,0,0,0,0,FALSE,1,0,0,0,11.404427062200902,4.116658236787156,20,3.1475736312076257,-0.02397669375884259,0.2625342358688199,1.082017,0,Future,1,1,0.01,0.5,0,0.00225332881403187,1,2.329468066990186,2.0258931905987883,2.0977340480575752,4.1269841269841265,0.264718,-0.324718,0,0
2024-02-20,2.7463,lo,0,0,0,0,0,FALSE,250,0,0,0,3.557526515829698,0.41666502445258985,13.385698115628598,-2.1578128822676645,-0.02818301443567006,0.2739945252252365,1.082017,0,Future,1,250,0.1,0.0028,0,0.00372107282196179,1,-0.8929830765354465,-1.1881071705681432,-1.203808330079971,-3.968253968253967,0.098688,-0.158688,0,0
2024-02-20,66348.6,lx,0,0,0,0,0,FALSE,0.1,-0,-0,0,-15.454893904430843,-12.717543683653494,-15.765129640052884,-6.365188544054605,-0.01091109875857299,0.14733465902486598,20.441299,0,Index,1,0.1,0.01,10,0,0.00102297098138154,1,-3.4494106301058913,-3.5819453907047873,-4.6023309620059205,-9.761904761904765,-0.1115,0.0515,0,0
2024-02-20,7801.01,mx,0,0,0,0,0,FALSE,0.05,0,0,0,8.300613815758439,0.722661802819624,-9.903861909438616,15.658085140987415,0.00390583101683184,0.1125454908592502,1,0,Index,1,0.05,0.01,1,0,0.00113899302811093,1,12.038313082220428,12.249633968459252,11.280779847130503,17.063492063492063,-0.06911,0.00911,0,0
2024-02-20,1.631,ng,505.07,0,-612,-612,-612,FALSE,220.4666565865343,-99.12782359403208,-711.1278235940321,1763.7332526922744,-8.063893136998143,-1.5037150319950483,20,-20,0.01918969439314116,0.5474897671092789,1.082017,0.05555555555555555,Future,1,100,0.1,0.003,0,0.0033596287362512,1,-19.734285422637264,-12.152391352075965,-19.65250651215092,-16.904761904761905,1.214159,-1.27416,1819.4444444444443,1329.2993248447574
2024-02-20,38214.04,ny,0,0,0,0,0,FALSE,1,0,0,0,14.49417274761413,-1.3603847231128956,0.01151205008390713,20,-0.00815552817148024,0.14854000699583164,162.048996,0,Index,1,1,0.01,7,0,0.00123319469024145,1,18.4508743115976,12.567887412089354,17.262539132110078,19.365079365079367,-0.02994,-0.03006,0,0
2024-02-20,379.44,oj,581.92,0,426.16,426.16,426.16,FALSE,300,-21.012298286290104,405.1477017137099,1065.9584059923216,7.601566804786347,2.817984348188095,1.344249674360858,8.05430539510732,0.02357316771806683,0.3893852533376082,1.082017,0.05555555555555555,Future,0.01,300,0.01,0.6,0,0.00406095931678299,1,6.367535618215524,4.229207547131502,7.905123708963296,8.571428571428571,-0.011634,-0.048366,1819.4444444444443,1869.042989018317
2024-02-20,956.96,pa,0,0,0,0,0,FALSE,0.6,-0,-0,0,-13.857257562703916,-20,-2.4922922115760033,-7.230197311150552,0.01142389134892685,0.40843304620219795,1.082017,0,Future,1,0.6,0.01,1.49,0,0.00381216429903479,1,-7.389297373147309,-6.6325277349068035,2.7345138847656085,-13.015873015873016,-0.065717,0.005717,0,0
2024-02-20,911.51,pl,0,0,0,0,0,FALSE,0.7,-0,-0,0,-5.154973136552466,-1.8051381158547797,-2.8432941204157376,-4.549081397268029,0.01032176163127296,0.21229952809515856,1.082017,0,Future,1,0.7,0.01,1,0,0.00516760766349796,1,-2.1912783436538548,-4.726223044609778,1.3090111640200213,-9.682539682539682,-0.05118,-0.00882,0,0
2024-02-20,2.3022,rb,0,0,0,0,0,FALSE,250,-0,-0,0,-3.0272740167524588,7.579464201148786,-20,2.173902543755662,-0.01174553618758988,0.2848208572177456,1.082017,0,Future,1,250,0.1,0.0025,0,0.0038126344690739,1,1.7854187901433325,1.2636911707983156,5.686696908825284,-1.428571428571429,-0.925762,0.865762,0,0
