Date,SPGSCI
1986-04-21,153.600006
1986-04-22,155.479996
1986-04-23,156.050003
1986-04-24,157.149994
1986-04-25,157.889999
1986-04-28,158.320007
1986-04-29,160.830002
1986-04-30,163.5
1986-05-01,161.350006
1986-05-02,162.160004
1986-05-05,162.710007
1986-05-06,163.160004
1986-05-07,163.880005
1986-05-08,167.020004
1986-05-09,166.419998
1986-05-12,163.020004
1986-05-13,163.399994
1986-05-14,162.940002
1986-05-15,161.559998
1986-05-16,160.979996
1986-05-19,161.029999
1986-05-20,158.25
1986-05-21,156.399994
1986-05-22,157.389999
1986-05-23,158.830002
1986-05-27,157.410004
1986-05-28,157.850006
1986-05-29,156.279999
1986-05-30,154.100006
1986-06-02,153.210007
1986-06-03,152.509995
1986-06-04,151.130005
1986-06-05,154.020004
1986-06-06,153.240005
1986-06-09,150.160004
1986-06-10,148.110001
1986-06-11,147.729996
1986-06-12,147.740005
1986-06-13,148.679993
1986-06-16,146.690002
1986-06-17,147.809998
1986-06-18,149.479996
1986-06-19,150.300003
1986-06-20,150.419998
1986-06-23,149.929993
1986-06-24,151.009995
1986-06-25,153.029999
1986-06-26,153.869995
1986-06-27,154.699997
1986-06-30,152.449997
1986-07-01,151.149994
1986-07-02,151.479996
1986-07-03,152.089996
1986-07-07,148.509995
1986-07-08,146.690002
1986-07-09,146.050003
1986-07-10,145.559998
1986-07-11,144.330002
1986-07-14,145.139999
1986-07-15,148.300003
1986-07-16,151.470001
1986-07-17,149.259995
1986-07-18,150.899994
1986-07-21,152.610001
1986-07-22,150.869995
1986-07-23,150.179993
1986-07-24,150.119995
1986-07-25,150.889999
1986-07-28,153.229996
1986-07-29,153.410004
1986-07-30,152.449997
1986-07-31,150.350006
1986-08-01,151.779999
1986-08-04,154.529999
1986-08-05,155.880005
1986-08-06,154.940002
1986-08-07,157.119995
1986-08-08,157
1986-08-11,157.380005
1986-08-12,158.580002
1986-08-13,158.610001
1986-08-14,159.070007
1986-08-15,160.220001
1986-08-18,160.580002
1986-08-19,158.070007
1986-08-20,159.059998
1986-08-21,160.479996
1986-08-22,160.369995
1986-08-25,160.309998
1986-08-26,162.020004
1986-08-27,162.539993
1986-08-28,162.580002
1986-08-29,163.949997
1986-09-02,164.919998
1986-09-03,165.830002
1986-09-04,165.789993
1986-09-05,165.759995
1986-09-08,163.570007
1986-09-09,162.130005
1986-09-10,159.600006
1986-09-11,159.630005
1986-09-12,159.660004
1986-09-15,158.639999
1986-09-16,158.839996
1986-09-17,159.960007
1986-09-18,160.600006
1986-09-19,161.809998
1986-09-22,159.279999
1986-09-23,159.830002
1986-09-24,158.100006
1986-09-25,157.210007
1986-09-26,157.869995
1986-09-29,159.429993
1986-09-30,158.25
1986-10-01,159.190002
1986-10-02,158.589996
1986-10-03,155.929993
1986-10-06,155.789993
1986-10-07,158.630005
1986-10-08,158.160004
1986-10-09,158.910004
1986-10-10,158.029999
1986-10-13,158.559998
1986-10-14,159.199997
1986-10-15,160.190002
1986-10-16,159.770004
1986-10-17,160.190002
1986-10-20,161.5
1986-10-21,161.389999
1986-10-22,160.509995
1986-10-23,159.179993
1986-10-24,159.179993
1986-10-27,160.440002
1986-10-28,159.570007
1986-10-29,158.070007
1986-10-30,160.619995
1986-10-31,160.240005
1986-11-03,160.679993
1986-11-04,161.919998
1986-11-05,161.669998
1986-11-06,162.5
1986-11-07,161.729996
1986-11-10,161.850006
1986-11-11,160.919998
1986-11-12,160.550003
1986-11-13,160.820007
1986-11-14,160.190002
1986-11-17,159.320007
1986-11-18,160.110001
1986-11-19,160.360001
1986-11-20,159.779999
1986-11-21,159.389999
1986-11-24,158.770004
1986-11-25,159.240005
1986-11-26,159.740005
1986-11-28,160.770004
1986-12-01,162.679993
1986-12-02,161.039993
1986-12-03,159.720001
1986-12-04,160.110001
1986-12-05,160.190002
1986-12-08,159.050003
1986-12-09,158.009995
1986-12-10,158.990005
1986-12-11,159.970001
1986-12-12,160.389999
1986-12-15,159.710007
1986-12-16,159.130005
1986-12-17,158.139999
1986-12-18,158.139999
1986-12-19,157.690002
1986-12-22,158.589996
1986-12-23,159.110001
1986-12-24,159.779999
1986-12-26,159.550003
1986-12-29,159.279999
1986-12-30,159.199997
1986-12-31,159.270004
1987-01-02,160.119995
1987-01-05,159.729996
1987-01-06,160.410004
1987-01-07,160.460007
