Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2023-04-20,1500.14,zs,0,0,0,0,0,0,50,0,0,0,-0,0,-2.89988266930753,-10.685387501604627,-0.3390455395420032,1.6457062948299415,-0.0073786858606519345,0.18198882687956994,1.078283,0,Future,0.01,50,0.1,1.5,0,0.005494330023010958,0.4730128169235276,2.068569735056522,1.879092201883433,1.1111111111111107,0,0
2023-04-21,1480.74,zs,0,0,0,0,0,0,50,0,0,0,-0,0,-4.204268473119217,-10.632259746810757,-0.33296695002179705,-0.1230779490760118,-0.01301647426853858,0.18531118477662956,1.078283,0,Future,0.01,50,0.1,1.5,0,0.005466518446954877,-0.7993376850833867,1.194799737168554,-0.4917091264769908,-0.317460317460317,0,0
2023-04-24,1465.2,zs,0,0,0,0,0,0,50,0,0,0,-0,0,-5.557889578362951,-10.643011101567012,-0.33141387616499757,-1.9233069489512626,-0.01055021089515229,0.1861795912530857,1.078283,0,Future,0.01,50,0.1,1.5,0,0.005498728495753191,-2.2791572255442727,-0.17268726716821398,-3.378132179766082,-0.6349206349206344,0,0
2023-04-25,1447.36,zs,0,0,0,0,0,0,50,0,0,0,-0,0,-7.2657840123088295,-10.64529859690687,-0.3275490216896965,-4.201288207113491,-0.01225054461518127,0.1883763831187805,1.078283,0,Future,0.01,50,0.1,1.5,0,0.005501590215251683,-3.9643181374756074,-1.8806890181585405,-6.689668423832301,-1.587301587301587,0,0
2023-04-26,1444.57,zs,0,0,0,0,0,0,50,0,0,0,-0,0,-8.575358786937235,-10.663674747847665,-0.3334052699886457,-5.935271706998159,-0.0019295078826928602,0.18506756057605603,1.078283,0,Future,0.01,50,0.1,1.5,0,0.005610768720367698,-5.1730869345772295,-3.208054589454834,-8.870938910322161,-2.6984126984126986,0,0
2023-04-27,1433.75,zs,0,0,0,0,0,0,50,0,0,0,-0,0,-9.812923414888962,-10.737477188308226,-0.335611134771649,-7.547353724978678,-0.0075183099632045725,0.18385117061739503,1.078283,0,Future,0.01,50,0.1,1.5,0,0.005690513116164049,-6.395763221217122,-4.401629121691321,-10.762340065983473,-3.8095238095238098,0,0
2023-04-28,1447.54,zs,0,0,0,0,0,0,50,0,0,0,-0,0,-10.255447754970426,-10.720019147061366,-0.33533883922169266,-8.146251346819039,0.00957217447323,0.1840004579940961,1.078283,0,Future,0.01,50,0.1,1.5,0,0.005631729431678132,-6.311275630498517,-4.865441705463423,-11.285005211702432,-4.92063492063492,0,0
2023-05-01,1454.35,zs,0,0,0,0,0,0,50,0,0,0,-0,0,-10.236881364090745,-10.703875429404194,-0.3399758119410902,-8.127249531448351,0.004693501477607498,0.1814908526806948,1.078283,0,Future,0.01,50,0.1,1.5,0,0.005682868186512588,-5.97014200118802,-5.028571870359102,-10.288025916701306,-6.031746031746032,0,0
2023-05-02,1435.52,zs,0,0,0,0,0,0,50,0,0,0,-0,0,-10.850727111963227,-10.711661535076646,-0.3341070222250526,-8.944751870633453,-0.013031912502629694,0.18467884808011473,1.078283,0,Future,0.01,50,0.1,1.5,0,0.005658024901279999,-6.516663600770315,-5.853966414536024,-10.552905684301914,-7.142857142857142,0,0
2023-05-03,1443.43,zs,0,0,0,0,0,0,50,0,0,0,-0,0,-10.988418792272757,-10.643015581581759,-0.33824003449735607,-9.160597248324118,0.005495072789782007,0.18242222595469348,1.078283,0,Future,0.01,50,0.1,1.5,0,0.005696626960428348,-6.463508337352422,-6.2267477491292444,-9.847699183328631,-8.253968253968255,0,0
