Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
07/26/2013,148.7,148.7,148.7,148.7,2.44,+1.67%,0,0
07/25/2013,146.26,146.26,146.26,146.26,-3.69,-2.46%,0,0
07/24/2013,149.95,149.95,149.95,149.95,0.44,+0.29%,0,0
07/23/2013,149.51,149.51,149.51,149.51,1.09,+0.73%,0,0
07/22/2013,148.42,148.42,148.42,148.42,-4.58,-2.99%,0,0
07/19/2013,153,153,153,153,0.72,+0.47%,0,0
07/18/2013,152.28,152.28,152.28,152.28,2.58,+1.72%,0,0
07/17/2013,149.7,149.7,149.7,149.7,2.01,+1.36%,0,0
07/16/2013,147.69,147.69,147.69,147.69,3.79,+2.63%,0,0
07/15/2013,143.9,143.9,143.9,143.9,-3.97,-2.68%,0,0
07/12/2013,147.87,147.87,147.87,147.87,-0.02,-0.01%,0,0
07/11/2013,147.89,147.89,147.89,147.89,1.7,+1.16%,0,0
07/10/2013,146.19,146.19,146.19,146.19,-1.57,-1.06%,0,0
07/09/2013,147.76,147.76,147.76,147.76,2.31,+1.59%,0,0
07/08/2013,145.45,145.45,145.45,145.45,-0.08,-0.05%,0,0
07/05/2013,145.53,145.53,145.53,145.53,-3.16,-2.13%,0,0
07/03/2013,148.69,148.69,148.69,148.69,3.03,+2.08%,0,0
07/02/2013,145.66,145.66,145.66,145.66,0.71,+0.49%,0,0
07/01/2013,144.95,144.95,144.95,144.95,-0.97,-0.66%,0,0
06/28/2013,145.92,145.92,145.92,145.92,2.5,+1.74%,0,0
06/27/2013,143.42,143.42,143.42,143.42,-0.86,-0.60%,0,0
06/26/2013,144.28,144.28,144.28,144.28,-0.24,-0.17%,0,0
06/25/2013,144.52,144.52,144.52,144.52,0.72,+0.50%,0,0
06/24/2013,143.8,143.8,143.8,143.8,0.96,+0.67%,0,0
06/21/2013,142.84,142.84,142.84,142.84,-4.73,-3.21%,0,0
06/20/2013,147.57,147.57,147.57,147.57,1.19,+0.81%,0,0
06/19/2013,146.38,146.38,146.38,146.38,0.01,+0.01%,0,0
06/18/2013,146.37,146.37,146.37,146.37,-0.09,-0.06%,0,0
06/17/2013,146.46,146.46,146.46,146.46,-1.17,-0.79%,0,0
06/14/2013,147.63,147.63,147.63,147.63,0.59,+0.40%,0,0
06/13/2013,147.04,147.04,147.04,147.04,-3.85,-2.55%,0,0
06/12/2013,150.89,150.89,150.89,150.89,-0.49,-0.32%,0,0
06/11/2013,151.38,151.38,151.38,151.38,0.51,+0.34%,0,0
06/10/2013,150.87,150.87,150.87,150.87,-1.49,-0.98%,0,0
06/07/2013,152.36,152.36,152.36,152.36,1.69,+1.12%,0,0
06/06/2013,150.67,150.67,150.67,150.67,-0.34,-0.23%,0,0
06/05/2013,151.01,151.01,151.01,151.01,-1.07,-0.70%,0,0
06/04/2013,152.08,152.08,152.08,152.08,1.48,+0.98%,0,0
