Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
09/16/2003,154.5,154.5,154.5,154.5,0.75,+0.49%,0,0
09/15/2003,153.75,153.75,153.75,153.75,0.5,+0.33%,0,0
09/12/2003,153.25,153.25,153.25,153.25,-0.5,-0.33%,0,0
09/11/2003,153.75,153.75,153.75,153.75,-6.,-3.76%,0,0
09/10/2003,159.75,159.75,159.75,159.75,-2.,-1.24%,0,0
09/09/2003,161.75,161.75,161.75,161.75,1.75,+1.09%,0,0
09/08/2003,160,160,160,160,-7.25,-4.33%,0,0
09/05/2003,167.25,167.25,167.25,167.25,3.75,+2.29%,0,0
09/04/2003,163.5,163.5,163.5,163.5,2.75,+1.71%,0,0
09/03/2003,160.75,160.75,160.75,160.75,-0.5,-0.31%,0,0
09/02/2003,161.25,161.25,161.25,161.25,4.5,+2.87%,0,0
08/29/2003,156.75,156.75,156.75,156.75,2.25,+1.46%,0,0
08/28/2003,154.5,154.5,154.5,154.5,1.25,+0.82%,0,0
08/27/2003,153.25,153.25,153.25,153.25,-0.25,-0.16%,0,0
08/26/2003,153.5,153.5,153.5,153.5,0,0.00%,0,0
08/25/2003,153.5,153.5,153.5,153.5,-3.,-1.92%,0,0
08/22/2003,156.5,156.5,156.5,156.5,-1.25,-0.79%,0,0
08/21/2003,157.75,157.75,157.75,157.75,0.5,+0.32%,0,0
08/20/2003,157.25,157.25,157.25,157.25,0,0.00%,0,0
08/19/2003,157.25,157.25,157.25,157.25,-2.25,-1.41%,0,0
08/18/2003,159.5,159.5,159.5,159.5,5,+3.24%,0,0
08/15/2003,154.5,154.5,154.5,154.5,-2.25,-1.44%,0,0
08/14/2003,156.75,156.75,156.75,156.75,-0.25,-0.16%,0,0
08/13/2003,157,157,157,157,-3.75,-2.33%,0,0
08/12/2003,160.75,160.75,160.75,160.75,5.25,+3.38%,0,0
08/11/2003,155.5,155.5,155.5,155.5,-0.5,-0.32%,0,0
08/08/2003,156,156,156,156,0.75,+0.48%,0,0
08/07/2003,155.25,155.25,155.25,155.25,2.75,+1.80%,0,0
08/06/2003,152.5,152.5,152.5,152.5,0.75,+0.49%,0,0
08/05/2003,151.75,151.75,151.75,151.75,-4.,-2.57%,0,0
08/04/2003,155.75,155.75,155.75,155.75,-3.75,-2.35%,0,0
08/01/2003,159.5,159.5,159.5,159.5,-1.,-0.62%,0,0
07/31/2003,160.5,160.5,160.5,160.5,1.5,+0.94%,0,0
07/30/2003,159,159,159,159,-2.75,-1.70%,0,0
07/29/2003,161.75,161.75,161.75,161.75,5.75,+3.69%,0,0
07/28/2003,156,156,156,156,7.25,+4.87%,0,0
07/25/2003,148.75,148.75,148.75,148.75,1.75,+1.19%,0,0
07/24/2003,147,147,147,147,4.5,+3.16%,0,0
07/23/2003,142.5,142.5,142.5,142.5,0,0.00%,0,0
07/22/2003,142.5,142.5,142.5,142.5,-7.5,-5.00%,0,0
07/21/2003,150,150,150,150,2.75,+1.87%,0,0
07/18/2003,147.25,147.25,147.25,147.25,-4.5,-2.97%,0,0
07/17/2003,151.75,151.75,151.75,151.75,2.25,+1.51%,0,0
07/16/2003,149.5,149.5,149.5,149.5,-0.25,-0.17%,0,0
07/15/2003,149.75,149.75,149.75,149.75,-1.5,-0.99%,0,0
07/14/2003,151.25,151.25,151.25,151.25,-3.25,-2.10%,0,0
07/11/2003,154.5,154.5,154.5,154.5,0,0.00%,0,0
07/10/2003,154.5,154.5,154.5,154.5,-3.25,-2.06%,0,0
07/09/2003,157.75,157.75,157.75,157.75,1,+0.64%,0,0
07/08/2003,156.75,156.75,156.75,156.75,4.5,+2.96%,0,0
07/07/2003,152.25,152.25,152.25,152.25,-5.75,-3.64%,0,0
07/03/2003,158,158,158,158,0,0.00%,0,0
07/02/2003,158,158,158,158,-0.75,-0.47%,0,0
07/01/2003,158.75,158.75,158.75,158.75,3.75,+2.42%,0,0
06/30/2003,155,155,155,155,-2.25,-1.43%,0,0
06/27/2003,157.25,157.25,157.25,157.25,-0.5,-0.32%,0,0
06/26/2003,157.75,157.75,157.75,157.75,-1.5,-0.94%,0,0
06/25/2003,159.25,159.25,159.25,159.25,1.25,+0.79%,0,0
06/24/2003,158,158,158,158,-5.25,-3.22%,0,0
06/23/2003,163.25,163.25,163.25,163.25,-1.5,-0.91%,0,0
06/20/2003,164.75,164.75,164.75,164.75,1,+0.61%,0,0
06/19/2003,163.75,163.75,163.75,163.75,-10.25,-5.89%,0,0
06/18/2003,174,174,174,174,-5.75,-3.20%,0,0
06/17/2003,179.75,179.75,179.75,179.75,4.75,+2.71%,0,0
06/16/2003,175,175,175,175,0.25,+0.14%,0,0
06/13/2003,174.75,174.75,174.75,174.75,-3.5,-1.96%,0,0
06/12/2003,178.25,178.25,178.25,178.25,1.5,+0.85%,0,0
06/11/2003,176.75,176.75,176.75,176.75,5,+2.91%,0,0
06/10/2003,171.75,171.75,171.75,171.75,-2.,-1.15%,0,0
06/09/2003,173.75,173.75,173.75,173.75,-1.,-0.57%,0,0
06/06/2003,174.75,174.75,174.75,174.75,4.25,+2.49%,0,0
06/05/2003,170.5,170.5,170.5,170.5,2.75,+1.64%,0,0
06/04/2003,167.75,167.75,167.75,167.75,-3.5,-2.04%,0,0
06/03/2003,171.25,171.25,171.25,171.25,5.5,+3.32%,0,0
06/02/2003,165.75,165.75,165.75,165.75,-5.,-2.93%,0,0
05/30/2003,170.75,170.75,170.75,170.75,1,+0.59%,0,0
05/29/2003,169.75,169.75,169.75,169.75,5.25,+3.19%,0,0
05/28/2003,164.5,164.5,164.5,164.5,1.75,+1.08%,0,0
05/27/2003,162.75,162.75,162.75,162.75,-5.,-2.98%,0,0
05/23/2003,167.75,167.75,167.75,167.75,-0.75,-0.45%,0,0
05/22/2003,168.5,168.5,168.5,168.5,-7.5,-4.26%,0,0
05/21/2003,176,176,176,176,-2.,-1.12%,0,0
05/20/2003,178,178,178,178,-0.75,-0.42%,0,0
05/19/2003,178.75,178.75,178.75,178.75,-6.75,-3.64%,0,0
05/16/2003,185.5,185.5,185.5,185.5,2,+1.09%,0,0
05/15/2003,183.5,183.5,183.5,183.5,6.5,+3.67%,0,0
05/14/2003,177,177,177,177,1.75,+1.00%,0,0
