Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
07/19/2012,68.54,68.54,68.54,68.54,0.69,+1.02%,0,0
07/18/2012,67.85,67.85,67.85,67.85,0.99,+1.48%,0,0
07/17/2012,66.86,66.86,66.86,66.86,-2.19,-3.17%,0,0
07/16/2012,69.05,69.05,69.05,69.05,0.54,+0.79%,0,0
07/13/2012,68.51,68.51,68.51,68.51,2.4,+3.63%,0,0
07/12/2012,66.11,66.11,66.11,66.11,-1.28,-1.90%,0,0
07/11/2012,67.39,67.39,67.39,67.39,0.57,+0.85%,0,0
07/10/2012,66.82,66.82,66.82,66.82,-0.3,-0.45%,0,0
07/09/2012,67.12,67.12,67.12,67.12,-0.16,-0.24%,0,0
07/06/2012,67.28,67.28,67.28,67.28,-0.99,-1.45%,0,0
07/05/2012,68.27,68.27,68.27,68.27,-2.88,-4.05%,0,0
07/03/2012,71.15,71.15,71.15,71.15,0.6,+0.85%,0,0
07/02/2012,70.55,70.55,70.55,70.55,0.73,+1.05%,0,0
06/29/2012,69.82,69.82,69.82,69.82,1.81,+2.66%,0,0
06/28/2012,68.01,68.01,68.01,68.01,0.7,+1.04%,0,0
06/27/2012,67.31,67.31,67.31,67.31,-0.54,-0.80%,0,0
06/26/2012,67.85,67.85,67.85,67.85,-4.16,-5.78%,0,0
06/25/2012,72.01,72.01,72.01,72.01,1.21,+1.71%,0,0
06/22/2012,70.8,70.8,70.8,70.8,2.05,+2.98%,0,0
06/21/2012,68.75,68.75,68.75,68.75,-4.49,-6.13%,0,0
06/20/2012,73.24,73.24,73.24,73.24,-2.31,-3.06%,0,0
06/19/2012,75.55,75.55,75.55,75.55,2.18,+2.97%,0,0
06/18/2012,73.37,73.37,73.37,73.37,-2.61,-3.44%,0,0
06/15/2012,75.98,75.98,75.98,75.98,1.89,+2.55%,0,0
06/14/2012,74.09,74.09,74.09,74.09,3,+4.22%,0,0
06/13/2012,71.09,71.09,71.09,71.09,-0.48,-0.67%,0,0
06/12/2012,71.57,71.57,71.57,71.57,0.48,+0.68%,0,0
06/11/2012,71.09,71.09,71.09,71.09,2.19,+3.18%,0,0
06/08/2012,68.9,68.9,68.9,68.9,-0.99,-1.42%,0,0
06/07/2012,69.89,69.89,69.89,69.89,4,+6.07%,0,0
06/06/2012,65.89,65.89,65.89,65.89,3,+4.77%,0,0
06/05/2012,62.89,62.89,62.89,62.89,-1.7,-2.63%,0,0
06/04/2012,64.59,64.59,64.59,64.59,0,0.00%,0,0
06/01/2012,64.59,64.59,64.59,64.59,-2.96,-4.38%,0,0
05/31/2012,67.55,67.55,67.55,67.55,0.64,+0.96%,0,0
05/30/2012,66.91,66.91,66.91,66.91,-1.89,-2.75%,0,0
05/29/2012,68.8,68.8,68.8,68.8,-0.82,-1.18%,0,0
05/25/2012,69.62,69.62,69.62,69.62,-0.32,-0.46%,0,0
05/24/2012,69.94,69.94,69.94,69.94,2.43,+3.60%,0,0
05/23/2012,67.51,67.51,67.51,67.51,-2.51,-3.58%,0,0
05/22/2012,70.02,70.02,70.02,70.02,-2.,-2.78%,0,0
05/21/2012,72.02,72.02,72.02,72.02,0.53,+0.74%,0,0
05/18/2012,71.49,71.49,71.49,71.49,1.34,+1.91%,0,0
05/17/2012,70.15,70.15,70.15,70.15,-0.32,-0.45%,0,0
05/16/2012,70.47,70.47,70.47,70.47,-2.19,-3.01%,0,0
05/15/2012,72.66,72.66,72.66,72.66,0.34,+0.47%,0,0
05/14/2012,72.32,72.32,72.32,72.32,-0.15,-0.21%,0,0
05/11/2012,72.47,72.47,72.47,72.47,-2.85,-3.78%,0,0
05/10/2012,75.32,75.32,75.32,75.32,-4.,-5.04%,0,0
05/09/2012,79.32,79.32,79.32,79.32,-0.36,-0.45%,0,0
