Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
10/20/2023,3706,3706,3706,3706,72,+1.98%,0,0
10/19/2023,3634,3634,3634,3634,7,+0.19%,0,0
10/18/2023,3627,3627,3627,3627,-8.,-0.22%,0,0
10/17/2023,3635,3635,3635,3635,44,+1.23%,0,0
10/16/2023,3591,3591,3591,3591,92,+2.63%,0,0
10/13/2023,3499,3499,3499,3499,9,+0.26%,0,0
10/12/2023,3490,3490,3490,3490,58,+1.69%,0,0
10/11/2023,3432,3432,3432,3432,-42.,-1.21%,0,0
10/10/2023,3474,3474,3474,3474,39,+1.14%,0,0
10/09/2023,3435,3435,3435,3435,-18.,-0.52%,0,0
10/06/2023,3453,3453,3453,3453,53,+1.56%,0,0
10/05/2023,3400,3400,3400,3400,-31.,-0.90%,0,0
10/04/2023,3431,3431,3431,3431,3,+0.09%,0,0
10/03/2023,3428,3428,3428,3428,-74.,-2.11%,0,0
10/02/2023,3502,3502,3502,3502,84,+2.46%,0,0
09/29/2023,3418,3418,3418,3418,-41.,-1.19%,0,0
09/28/2023,3459,3459,3459,3459,43,+1.26%,0,0
09/27/2023,3416,3416,3416,3416,-84.,-2.40%,0,0
09/26/2023,3500,3500,3500,3500,4,+0.11%,0,0
09/25/2023,3496,3496,3496,3496,-86.,-2.40%,0,0
09/22/2023,3582,3582,3582,3582,-13.,-0.36%,0,0
09/21/2023,3595,3595,3595,3595,25,+0.70%,0,0
09/20/2023,3570,3570,3570,3570,-72.,-1.98%,0,0
09/19/2023,3642,3642,3642,3642,21,+0.58%,0,0
09/18/2023,3621,3621,3621,3621,-136.,-3.62%,0,0
09/15/2023,3757,3757,3757,3757,27,+0.72%,0,0
09/14/2023,3730,3730,3730,3730,4,+0.11%,0,0
09/13/2023,3726,3726,3726,3726,77,+2.11%,0,0
09/12/2023,3649,3649,3649,3649,-7.,-0.19%,0,0
09/11/2023,3656,3656,3656,3656,2,+0.05%,0,0
09/08/2023,3654,3654,3654,3654,42,+1.16%,0,0
09/07/2023,3612,3612,3612,3612,-40.,-1.10%,0,0
09/06/2023,3652,3652,3652,3652,3,+0.08%,0,0
09/05/2023,3649,3649,3649,3649,44,+1.22%,0,0
09/01/2023,3605,3605,3605,3605,3,+0.08%,0,0
08/31/2023,3602,3602,3602,3602,-4.,-0.11%,0,0
08/30/2023,3606,3606,3606,3606,51,+1.43%,0,0
08/29/2023,3555,3555,3555,3555,113,+3.28%,0,0
08/28/2023,3442,3442,3442,3442,12,+0.35%,0,0
08/25/2023,3430,3430,3430,3430,67,+1.99%,0,0
