Date,Close,Period
2021-04-20,6258.415714285714,Weekly
2021-04-21,6260.471428571428,Weekly
2021-04-22,6262.527142857142,Weekly
2021-04-23,6264.582857142857,Weekly
2021-04-24,6266.638571428572,Weekly
2021-04-25,6268.694285714286,Weekly
2021-04-26,6270.75,Weekly
2021-04-27,6288.238571428571,Weekly
2021-04-28,6305.727142857143,Weekly
2021-04-29,6323.215714285714,Weekly
2021-04-30,6340.704285714286,Weekly
2021-05-01,6358.192857142857,Weekly
2021-05-02,6375.681428571429,Weekly
2021-05-03,6393.17,Weekly
2021-05-04,6397.177142857143,Weekly
2021-05-05,6401.184285714286,Weekly
2021-05-06,6405.191428571428,Weekly
2021-05-07,6409.198571428572,Weekly
2021-05-08,6413.205714285715,Weekly
2021-05-09,6417.2128571428575,Weekly
2021-05-10,6421.22,Weekly
2021-05-11,6417.121428571429,Weekly
2021-05-12,6413.022857142857,Weekly
2021-05-13,6408.924285714285,Weekly
2021-05-14,6404.825714285715,Weekly
2021-05-15,6400.727142857143,Weekly
2021-05-16,6396.628571428571,Weekly
2021-05-17,6392.53,Weekly
2021-05-18,6403.8271428571425,Weekly
2021-05-19,6415.124285714285,Weekly
2021-05-20,6426.421428571428,Weekly
2021-05-21,6437.7185714285715,Weekly
2021-05-22,6449.015714285714,Weekly
2021-05-23,6460.312857142857,Weekly
2021-05-24,6471.61,Weekly
2021-05-25,6479.574285714285,Weekly
2021-05-26,6487.538571428571,Weekly
2021-05-27,6495.502857142857,Weekly
2021-05-28,6503.467142857143,Weekly
2021-05-29,6511.431428571428,Weekly
2021-05-30,6519.395714285714,Weekly
2021-05-31,6527.36,Weekly
2021-06-01,6541.414285714285,Weekly
2021-06-02,6555.4685714285715,Weekly
2021-06-03,6569.522857142857,Weekly
2021-06-04,6583.5771428571425,Weekly
2021-06-05,6597.631428571428,Weekly
2021-06-06,6611.685714285714,Weekly
2021-06-07,6625.74,Weekly
2021-06-08,6617.925714285714,Weekly
2021-06-09,6610.111428571428,Weekly
2021-06-10,6602.297142857143,Weekly
2021-06-11,6594.482857142857,Weekly
2021-06-12,6586.668571428571,Weekly
2021-06-13,6578.854285714286,Weekly
2021-06-14,6571.04,Weekly
2021-06-15,6579.2471428571425,Weekly
2021-06-16,6587.454285714286,Weekly
2021-06-17,6595.661428571429,Weekly
2021-06-18,6603.868571428571,Weekly
2021-06-19,6612.075714285714,Weekly
2021-06-20,6620.282857142857,Weekly
2021-06-21,6628.49,Weekly
2021-06-22,6618.181428571428,Weekly
2021-06-23,6607.872857142857,Weekly
2021-06-24,6597.564285714286,Weekly
2021-06-25,6587.255714285714,Weekly
2021-06-26,6576.947142857142,Weekly
2021-06-27,6566.638571428572,Weekly
2021-06-28,6556.33,Weekly
2021-06-29,6552.915714285714,Weekly
2021-06-30,6549.501428571429,Weekly
2021-07-01,6546.087142857143,Weekly
2021-07-02,6542.6728571428575,Weekly
2021-07-03,6539.2585714285715,Weekly
2021-07-04,6535.844285714286,Weekly
2021-07-05,6532.43,Weekly
2021-07-06,6519.568571428572,Weekly
2021-07-07,6506.707142857143,Weekly
2021-07-08,6493.845714285714,Weekly
2021-07-09,6480.984285714286,Weekly
2021-07-10,6468.122857142857,Weekly
2021-07-11,6455.261428571428,Weekly
2021-07-12,6442.4,Weekly
2021-07-13,6459.695714285714,Weekly
2021-07-14,6476.9914285714285,Weekly
2021-07-15,6494.2871428571425,Weekly
2021-07-16,6511.582857142857,Weekly
2021-07-17,6528.878571428571,Weekly
2021-07-18,6546.174285714286,Weekly
2021-07-19,6563.47,Weekly
2021-07-20,6571.304285714286,Weekly
2021-07-21,6579.138571428572,Weekly
2021-07-22,6586.972857142858,Weekly
2021-07-23,6594.807142857143,Weekly
2021-07-24,6602.641428571429,Weekly
2021-07-25,6610.475714285714,Weekly
2021-07-26,6618.31,Weekly
2021-07-27,6648.062857142858,Weekly
2021-07-28,6677.815714285714,Weekly
2021-07-29,6707.568571428572,Weekly
2021-07-30,6737.321428571428,Weekly
2021-07-31,6767.074285714286,Weekly
2021-08-01,6796.8271428571425,Weekly
2021-08-02,6826.58,Weekly
2021-08-03,6837.051428571429,Weekly
2021-08-04,6847.522857142857,Weekly
2021-08-05,6857.994285714286,Weekly
2021-08-06,6868.465714285714,Weekly
2021-08-07,6878.937142857143,Weekly
2021-08-08,6889.408571428571,Weekly
2021-08-09,6899.88,Weekly
2021-08-10,6863.265714285714,Weekly
2021-08-11,6826.651428571428,Weekly
2021-08-12,6790.0371428571425,Weekly
2021-08-13,6753.4228571428575,Weekly
2021-08-14,6716.808571428572,Weekly
2021-08-15,6680.194285714286,Weekly
2021-08-16,6643.58,Weekly
2021-08-17,6649.655714285715,Weekly
2021-08-18,6655.731428571428,Weekly
2021-08-19,6661.807142857143,Weekly
2021-08-20,6667.882857142857,Weekly
2021-08-21,6673.958571428571,Weekly
2021-08-22,6680.034285714285,Weekly
2021-08-23,6686.11,Weekly
2021-08-24,6685.245714285714,Weekly
2021-08-25,6684.381428571429,Weekly
2021-08-26,6683.517142857143,Weekly
2021-08-27,6682.652857142857,Weekly
2021-08-28,6681.788571428571,Weekly
2021-08-29,6680.924285714286,Weekly
2021-08-30,6680.06,Weekly
2021-08-31,6674.31,Weekly
2021-09-01,6668.56,Weekly
2021-09-02,6662.81,Weekly
2021-09-03,6657.06,Weekly
2021-09-04,6651.31,Weekly
2021-09-05,6645.56,Weekly
2021-09-06,6639.81,Weekly
2021-09-07,6630.538571428572,Weekly
2021-09-08,6621.267142857143,Weekly
2021-09-09,6611.995714285715,Weekly
2021-09-10,6602.7242857142855,Weekly
2021-09-11,6593.452857142857,Weekly
2021-09-12,6584.181428571428,Weekly
2021-09-13,6574.91,Weekly
2021-09-14,6584.298571428571,Weekly
2021-09-15,6593.687142857143,Weekly
2021-09-16,6603.075714285715,Weekly
2021-09-17,6612.464285714285,Weekly
2021-09-18,6621.852857142857,Weekly
2021-09-19,6631.2414285714285,Weekly
2021-09-20,6640.63,Weekly
2021-09-21,6626.621428571429,Weekly
2021-09-22,6612.612857142857,Weekly
2021-09-23,6598.604285714286,Weekly
2021-09-24,6584.595714285714,Weekly
2021-09-25,6570.587142857143,Weekly
2021-09-26,6556.578571428571,Weekly
2021-09-27,6542.57,Weekly
2021-09-28,6544.434285714286,Weekly
2021-09-29,6546.298571428571,Weekly
2021-09-30,6548.162857142857,Weekly
2021-10-01,6550.027142857142,Weekly
2021-10-02,6551.891428571428,Weekly
2021-10-03,6553.755714285714,Weekly
2021-10-04,6555.62,Weekly
2021-10-05,6582.138571428572,Weekly
2021-10-06,6608.657142857142,Weekly
2021-10-07,6635.175714285714,Weekly
2021-10-08,6661.694285714286,Weekly
2021-10-09,6688.2128571428575,Weekly
2021-10-10,6714.731428571428,Weekly
2021-10-11,6741.25,Weekly
2021-10-12,6742.381428571429,Weekly
2021-10-13,6743.512857142857,Weekly
2021-10-14,6744.644285714286,Weekly
2021-10-15,6745.7757142857145,Weekly
2021-10-16,6746.907142857143,Weekly
2021-10-17,6748.038571428571,Weekly
2021-10-18,6749.17,Weekly
2021-10-19,6756.884285714285,Weekly
2021-10-20,6764.598571428572,Weekly
2021-10-21,6772.312857142857,Weekly
2021-10-22,6780.027142857143,Weekly
2021-10-23,6787.7414285714285,Weekly
2021-10-24,6795.455714285715,Weekly
2021-10-25,6803.17,Weekly
2021-10-26,6837.822857142857,Weekly
2021-10-27,6872.475714285714,Weekly
2021-10-28,6907.128571428571,Weekly
2021-10-29,6941.7814285714285,Weekly
2021-10-30,6976.434285714286,Weekly
2021-10-31,7011.087142857143,Weekly
2021-11-01,7045.74,Weekly
2021-11-02,7051.774285714286,Weekly
2021-11-03,7057.808571428571,Weekly
2021-11-04,7063.842857142857,Weekly
2021-11-05,7069.877142857143,Weekly
2021-11-06,7075.911428571429,Weekly
2021-11-07,7081.945714285714,Weekly
2021-11-08,7087.98,Weekly
2021-11-09,7090.641428571428,Weekly
2021-11-10,7093.302857142857,Weekly
2021-11-11,7095.964285714285,Weekly
2021-11-12,7098.625714285714,Weekly
2021-11-13,7101.2871428571425,Weekly
2021-11-14,7103.948571428571,Weekly
2021-11-15,7106.61,Weekly
2021-11-16,7049.67,Weekly
2021-11-17,6992.73,Weekly
2021-11-18,6935.79,Weekly
2021-11-19,6878.8499999999995,Weekly
2021-11-20,6821.91,Weekly
2021-11-21,6764.969999999999,Weekly
2021-11-22,6708.03,Weekly
2021-11-23,6717.92,Weekly
2021-11-24,6727.8099999999995,Weekly
2021-11-25,6737.7,Weekly
2021-11-26,6747.59,Weekly
2021-11-27,6757.4800000000005,Weekly
2021-11-28,6767.37,Weekly
2021-11-29,6777.26,Weekly
2021-11-30,6809.825714285715,Weekly
2021-12-01,6842.391428571429,Weekly
2021-12-02,6874.9571428571435,Weekly
2021-12-03,6907.522857142857,Weekly
2021-12-04,6940.088571428571,Weekly
2021-12-05,6972.654285714286,Weekly
2021-12-06,7005.22,Weekly
2021-12-07,6990.305714285714,Weekly
2021-12-08,6975.391428571429,Weekly
2021-12-09,6960.477142857143,Weekly
2021-12-10,6945.562857142857,Weekly
2021-12-11,6930.648571428571,Weekly
2021-12-12,6915.734285714286,Weekly
2021-12-13,6900.82,Weekly
2021-12-14,6928.25,Weekly
2021-12-15,6955.679999999999,Weekly
2021-12-16,6983.11,Weekly
2021-12-17,7010.54,Weekly
2021-12-18,7037.97,Weekly
2021-12-19,7065.4,Weekly
2021-12-20,7092.83,Weekly
2021-12-21,7103.354285714286,Weekly
2021-12-22,7113.878571428571,Weekly
2021-12-23,7124.402857142857,Weekly
2021-12-24,7134.927142857143,Weekly
2021-12-25,7145.451428571429,Weekly
2021-12-26,7155.975714285714,Weekly
2021-12-27,7166.5,Weekly
2021-12-28,7174.187142857143,Weekly
2021-12-29,7181.874285714286,Weekly
2021-12-30,7189.561428571429,Weekly
2021-12-31,7197.248571428571,Weekly
2022-01-01,7204.935714285714,Weekly
2022-01-02,7212.622857142857,Weekly
2022-01-03,7220.31,Weekly
2022-01-04,7213.327142857143,Weekly
2022-01-05,7206.344285714286,Weekly
2022-01-06,7199.361428571429,Weekly
2022-01-07,7192.378571428571,Weekly
2022-01-08,7185.395714285714,Weekly
2022-01-09,7178.412857142857,Weekly
2022-01-10,7171.43,Weekly
2022-01-11,7146.367142857143,Weekly
2022-01-12,7121.3042857142855,Weekly
2022-01-13,7096.2414285714285,Weekly
2022-01-14,7071.178571428572,Weekly
2022-01-15,7046.115714285715,Weekly
2022-01-16,7021.052857142857,Weekly
2022-01-17,6995.99,Weekly
2022-01-18,6998.955714285714,Weekly
2022-01-19,7001.921428571429,Weekly
2022-01-20,7004.887142857143,Weekly
2022-01-21,7007.852857142857,Weekly
2022-01-22,7010.818571428571,Weekly
2022-01-23,7013.784285714286,Weekly
2022-01-24,7016.75,Weekly
2022-01-25,7011.8271428571425,Weekly
2022-01-26,7006.904285714286,Weekly
2022-01-27,7001.981428571428,Weekly
2022-01-28,6997.058571428572,Weekly
2022-01-29,6992.135714285714,Weekly
2022-01-30,6987.2128571428575,Weekly
2022-01-31,6982.29,Weekly
2022-02-01,6968.35,Weekly
2022-02-02,6954.41,Weekly
2022-02-03,6940.47,Weekly
2022-02-04,6926.53,Weekly
2022-02-05,6912.59,Weekly
2022-02-06,6898.65,Weekly
2022-02-07,6884.71,Weekly
2022-02-08,6890.377142857143,Weekly
2022-02-09,6896.044285714286,Weekly
2022-02-10,6901.711428571429,Weekly
2022-02-11,6907.378571428571,Weekly
2022-02-12,6913.045714285714,Weekly
2022-02-13,6918.7128571428575,Weekly
2022-02-14,6924.38,Weekly
2022-02-15,6906.4628571428575,Weekly
2022-02-16,6888.545714285714,Weekly
2022-02-17,6870.628571428571,Weekly
2022-02-18,6852.711428571429,Weekly
2022-02-19,6834.794285714286,Weekly
2022-02-20,6816.877142857143,Weekly
2022-02-21,6798.96,Weekly
2022-02-22,6698.2,Weekly
2022-02-23,6597.4400000000005,Weekly
2022-02-24,6496.68,Weekly
2022-02-25,6395.92,Weekly
2022-02-26,6295.16,Weekly
2022-02-27,6194.4000000000005,Weekly
2022-02-28,6093.64,Weekly
2022-03-01,6109.228571428572,Weekly
2022-03-02,6124.817142857143,Weekly
2022-03-03,6140.405714285715,Weekly
2022-03-04,6155.994285714286,Weekly
2022-03-05,6171.582857142857,Weekly
2022-03-06,6187.171428571429,Weekly
2022-03-07,6202.76,Weekly
2022-03-08,6265.77,Weekly
2022-03-09,6328.78,Weekly
2022-03-10,6391.79,Weekly
2022-03-11,6454.8,Weekly
2022-03-12,6517.81,Weekly
2022-03-13,6580.82,Weekly
2022-03-14,6643.83,Weekly
2022-03-15,6636.83,Weekly
2022-03-16,6629.83,Weekly
2022-03-17,6622.83,Weekly
2022-03-18,6615.83,Weekly
2022-03-19,6608.83,Weekly
2022-03-20,6601.83,Weekly
2022-03-21,6594.83,Weekly
2022-03-22,6610.662857142857,Weekly
2022-03-23,6626.495714285714,Weekly
2022-03-24,6642.328571428571,Weekly
2022-03-25,6658.161428571429,Weekly
2022-03-26,6673.994285714286,Weekly
2022-03-27,6689.8271428571425,Weekly
2022-03-28,6705.66,Weekly
2022-03-29,6677.831428571429,Weekly
2022-03-30,6650.002857142857,Weekly
2022-03-31,6622.174285714285,Weekly
2022-04-01,6594.345714285714,Weekly
2022-04-02,6566.517142857143,Weekly
2022-04-03,6538.688571428571,Weekly
2022-04-04,6510.86,Weekly
2022-04-05,6517.894285714286,Weekly
2022-04-06,6524.928571428572,Weekly
2022-04-07,6531.9628571428575,Weekly
2022-04-08,6538.9971428571425,Weekly
2022-04-09,6546.0314285714285,Weekly
2022-04-10,6553.065714285714,Weekly
2022-04-11,6560.1,Weekly
2022-04-12,6557.360000000001,Weekly
2022-04-13,6554.62,Weekly
2022-04-14,6551.88,Weekly
2022-04-15,6549.14,Weekly
2022-04-16,6546.4000000000005,Weekly
2022-04-17,6543.66,Weekly
2022-04-18,6540.92,Weekly
2022-04-19,6543.785714285715,Weekly
2022-04-20,6546.651428571428,Weekly
2022-04-21,6549.517142857143,Weekly
2022-04-22,6552.382857142857,Weekly
2022-04-23,6555.248571428571,Weekly
2022-04-24,6558.114285714285,Weekly
2022-04-25,6560.98,Weekly
2022-04-26,6517.362857142857,Weekly
2022-04-27,6473.745714285714,Weekly
2022-04-28,6430.128571428571,Weekly
2022-04-29,6386.511428571428,Weekly
2022-04-30,6342.894285714286,Weekly
2022-05-01,6299.277142857142,Weekly
2022-05-02,6255.66,Weekly
2022-05-03,6273.162857142857,Weekly
2022-05-04,6290.665714285714,Weekly
2022-05-05,6308.168571428571,Weekly
2022-05-06,6325.671428571429,Weekly
2022-05-07,6343.174285714286,Weekly
2022-05-08,6360.677142857143,Weekly
2022-05-09,6378.18,Weekly
2022-05-10,6367.62,Weekly
2022-05-11,6357.06,Weekly
2022-05-12,6346.5,Weekly
2022-05-13,6335.9400000000005,Weekly
2022-05-14,6325.38,Weekly
2022-05-15,6314.820000000001,Weekly
2022-05-16,6304.26,Weekly
2022-05-17,6336.954285714286,Weekly
2022-05-18,6369.648571428572,Weekly
2022-05-19,6402.342857142858,Weekly
2022-05-20,6435.0371428571425,Weekly
2022-05-21,6467.731428571428,Weekly
2022-05-22,6500.425714285714,Weekly
2022-05-23,6533.12,Weekly
2022-05-24,6526.487142857142,Weekly
2022-05-25,6519.854285714286,Weekly
2022-05-26,6513.221428571428,Weekly
2022-05-27,6506.588571428571,Weekly
2022-05-28,6499.955714285714,Weekly
2022-05-29,6493.322857142857,Weekly
2022-05-30,6486.69,Weekly
2022-05-31,6443.54,Weekly
2022-06-01,6400.389999999999,Weekly
2022-06-02,6357.24,Weekly
2022-06-03,6314.09,Weekly
2022-06-04,6270.9400000000005,Weekly
2022-06-05,6227.79,Weekly
2022-06-06,6184.64,Weekly
2022-06-07,6142.47,Weekly
2022-06-08,6100.3,Weekly
2022-06-09,6058.13,Weekly
2022-06-10,6015.96,Weekly
2022-06-11,5973.79,Weekly
2022-06-12,5931.62,Weekly
2022-06-13,5889.45,Weekly
2022-06-14,5923.285714285714,Weekly
2022-06-15,5957.121428571429,Weekly
2022-06-16,5990.957142857143,Weekly
2022-06-17,6024.792857142857,Weekly
2022-06-18,6058.628571428571,Weekly
2022-06-19,6092.464285714286,Weekly
2022-06-20,6126.3,Weekly
2022-06-21,6107.79,Weekly
2022-06-22,6089.28,Weekly
2022-06-23,6070.7699999999995,Weekly
2022-06-24,6052.26,Weekly
2022-06-25,6033.75,Weekly
2022-06-26,6015.24,Weekly
2022-06-27,5996.73,Weekly
2022-06-28,5999.027142857142,Weekly
2022-06-29,6001.324285714286,Weekly
2022-06-30,6003.621428571429,Weekly
2022-07-01,6005.918571428571,Weekly
2022-07-02,6008.215714285714,Weekly
2022-07-03,6010.512857142858,Weekly
2022-07-04,6012.81,Weekly
2022-07-05,6017.065714285714,Weekly
2022-07-06,6021.321428571429,Weekly
2022-07-07,6025.577142857143,Weekly
2022-07-08,6029.832857142857,Weekly
2022-07-09,6034.088571428571,Weekly
2022-07-10,6038.344285714286,Weekly
2022-07-11,6042.6,Weekly
2022-07-12,6062.46,Weekly
2022-07-13,6082.320000000001,Weekly
2022-07-14,6102.18,Weekly
2022-07-15,6122.04,Weekly
2022-07-16,6141.9,Weekly
2022-07-17,6161.76,Weekly
2022-07-18,6181.62,Weekly
2022-07-19,6225.658571428571,Weekly
2022-07-20,6269.697142857143,Weekly
2022-07-21,6313.7357142857145,Weekly
2022-07-22,6357.774285714286,Weekly
2022-07-23,6401.812857142857,Weekly
2022-07-24,6445.851428571429,Weekly
2022-07-25,6489.89,Weekly
2022-07-26,6490.530000000001,Weekly
2022-07-27,6491.17,Weekly
2022-07-28,6491.81,Weekly
2022-07-29,6492.45,Weekly
2022-07-30,6493.09,Weekly
2022-07-31,6493.73,Weekly
2022-08-01,6494.37,Weekly
2022-08-02,6510.124285714285,Weekly
2022-08-03,6525.878571428571,Weekly
2022-08-04,6541.632857142857,Weekly
2022-08-05,6557.387142857143,Weekly
2022-08-06,6573.141428571428,Weekly
2022-08-07,6588.895714285714,Weekly
